gene	key	tmd_index	tmd_start_aa	tmd_end_aa	tmd_length_aa	protein_length	classification	label_WT_lost	uniprot_accession	alphafold_available	local_pdb
COX1	COX1__TMD2	2	55	88	34	534	No_eS7_event	0	P00401	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX1__P00401.pdb
COX1	COX1__TMD3	3	98	118	21	534	No_eS7_event	0	P00401	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX1__P00401.pdb
COX1	COX1__TMD4	4	143	171	29	534	No_eS7_event	0	P00401	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX1__P00401.pdb
COX1	COX1__TMD5	5	184	215	32	534	No_eS7_event	0	P00401	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX1__P00401.pdb
COX1	COX1__TMD6	6	229	263	35	534	No_eS7_event	0	P00401	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX1__P00401.pdb
COX1	COX1__TMD7	7	270	295	26	534	No_eS7_event	0	P00401	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX1__P00401.pdb
COX1	COX1__TMD8	8	299	327	29	534	No_eS7_event	0	P00401	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX1__P00401.pdb
COX1	COX1__TMD9	9	336	358	23	534	No_eS7_event	0	P00401	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX1__P00401.pdb
COX1	COX1__TMD10	10	371	400	30	534	No_eS7_event	0	P00401	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX1__P00401.pdb
COX1	COX1__TMD11	11	407	431	25	534	No_eS7_event	0	P00401	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX1__P00401.pdb
COX1	COX1__TMD12	12	450	474	25	534	No_eS7_event	0	P00401	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX1__P00401.pdb
COX2	COX2__TMD1	1	31	64	34	251	No_eS7_event	0	P00410	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX2__P00410.pdb
COX2	COX2__TMD2	2	79	108	30	251	No_eS7_event	0	P00410	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX2__P00410.pdb
COX3	COX3__TMD1	1	23	41	19	269	No_eS7_event	0	P00420	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX3__P00420.pdb
COX3	COX3__TMD2	2	49	73	25	269	No_eS7_event	0	P00420	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX3__P00420.pdb
COX3	COX3__TMD3	3	81	114	34	269	No_eS7_event	0	P00420	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX3__P00420.pdb
COX3	COX3__TMD4	4	138	161	24	269	No_eS7_event	0	P00420	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX3__P00420.pdb
COX3	COX3__TMD5	5	165	188	24	269	No_eS7_event	0	P00420	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX3__P00420.pdb
COX3	COX3__TMD6	6	202	230	29	269	No_eS7_event	0	P00420	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX3__P00420.pdb
COX3	COX3__TMD7	7	249	265	17	269	No_eS7_event	0	P00420	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX3__P00420.pdb
COX5A	COX5A__TMD1	1	89	111	23	153	No_eS7_event	0	P00424	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX5A__P00424.pdb
ATP6	ATP6__TMD1	1	36	56	21	259	No_eS7_event	0	P00854	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ATP6__P00854.pdb
ATP6	ATP6__TMD2	2	92	112	21	259	No_eS7_event	0	P00854	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ATP6__P00854.pdb
ATP6	ATP6__TMD3	3	125	145	21	259	No_eS7_event	0	P00854	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ATP6__P00854.pdb
ATP6	ATP6__TMD4	4	150	170	21	259	No_eS7_event	0	P00854	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ATP6__P00854.pdb
ATP6	ATP6__TMD5	5	191	211	21	259	No_eS7_event	0	P00854	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ATP6__P00854.pdb
ATP6	ATP6__TMD6	6	216	236	21	259	No_eS7_event	0	P00854	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ATP6__P00854.pdb
BI2	BI2__TMD1	1	32	52	21	423	No_eS7_event	0	P03873	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/BI2__P03873.pdb
BI2	BI2__TMD2	2	85	105	21	423	No_eS7_event	0	P03873	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/BI2__P03873.pdb
BI2	BI2__TMD3	3	116	136	21	423	No_eS7_event	0	P03873	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/BI2__P03873.pdb
BI2	BI2__TMD4	4	154	174	21	423	No_eS7_event	0	P03873	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/BI2__P03873.pdb
AI3	AI3__TMD1	1	16	36	21	415	No_eS7_event	0	P03877	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/AI3__P03877.pdb
AI3	AI3__TMD2	2	57	77	21	415	No_eS7_event	0	P03877	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/AI3__P03877.pdb
COX8	COX8__TMD1	1	52	73	22	78	No_eS7_event	0	P04039	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX8__P04039.pdb
AAC1	AAC1__TMD1	1	13	40	28	309	No_eS7_event	0	P04710	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/AAC1__P04710.pdb
AAC1	AAC1__TMD2	2	81	105	25	309	No_eS7_event	0	P04710	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/AAC1__P04710.pdb
AAC1	AAC1__TMD3	3	114	134	21	309	No_eS7_event	0	P04710	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/AAC1__P04710.pdb
AAC1	AAC1__TMD4	4	184	205	22	309	No_eS7_event	0	P04710	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/AAC1__P04710.pdb
AAC1	AAC1__TMD5	5	219	239	21	309	No_eS7_event	0	P04710	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/AAC1__P04710.pdb
AAC1	AAC1__TMD6	6	279	299	21	309	No_eS7_event	0	P04710	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/AAC1__P04710.pdb
CAN1	CAN1__TMD1	1	93	113	21	590	No_eS7_event	0	P04817	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CAN1__P04817.pdb
CAN1	CAN1__TMD2	2	117	137	21	590	No_eS7_event	0	P04817	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CAN1__P04817.pdb
CAN1	CAN1__TMD3	3	172	192	21	590	No_eS7_event	0	P04817	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CAN1__P04817.pdb
CAN1	CAN1__TMD4	4	199	219	21	590	No_eS7_event	0	P04817	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CAN1__P04817.pdb
CAN1	CAN1__TMD5	5	235	255	21	590	No_eS7_event	0	P04817	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CAN1__P04817.pdb
CAN1	CAN1__TMD6	6	283	303	21	590	No_eS7_event	0	P04817	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CAN1__P04817.pdb
CAN1	CAN1__TMD7	7	324	344	21	590	No_eS7_event	0	P04817	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CAN1__P04817.pdb
CAN1	CAN1__TMD8	8	377	397	21	590	No_eS7_event	0	P04817	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CAN1__P04817.pdb
CAN1	CAN1__TMD9	9	420	440	21	590	No_eS7_event	0	P04817	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CAN1__P04817.pdb
CAN1	CAN1__TMD10	10	449	469	21	590	No_eS7_event	0	P04817	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CAN1__P04817.pdb
CAN1	CAN1__TMD11	11	498	518	21	590	No_eS7_event	0	P04817	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CAN1__P04817.pdb
CAN1	CAN1__TMD12	12	524	544	21	590	No_eS7_event	0	P04817	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CAN1__P04817.pdb
CDC25	CDC25__TMD1	1	1452	1473	22	1589	No_eS7_event	0	P04821	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CDC25__P04821.pdb
POR1	POR1__TMD1	1	26	35	10	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD2	2	39	47	9	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD3	3	54	64	11	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD4	4	69	76	8	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD5	5	80	89	10	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD6	6	94	103	10	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD7	7	109	118	10	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD8	8	121	128	8	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD9	9	135	143	9	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD10	10	148	156	9	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD11	11	161	173	13	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD12	12	176	183	8	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD13	13	187	196	10	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD14	14	200	209	10	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD15	15	218	227	10	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD16	16	231	238	8	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD17	17	242	251	10	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD18	18	254	263	10	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
POR1	POR1__TMD19	19	273	282	10	283	No_eS7_event	0	P04840	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/POR1__P04840.pdb
PMA1	PMA1__TMD1	1	116	136	21	918	No_eS7_event	0	P05030	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/PMA1__P05030.pdb
PMA1	PMA1__TMD2	2	141	160	20	918	No_eS7_event	0	P05030	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/PMA1__P05030.pdb
PMA1	PMA1__TMD3	3	292	313	22	918	No_eS7_event	0	P05030	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/PMA1__P05030.pdb
PMA1	PMA1__TMD4	4	326	347	22	918	No_eS7_event	0	P05030	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/PMA1__P05030.pdb
PMA1	PMA1__TMD5	5	720	738	19	918	No_eS7_event	0	P05030	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/PMA1__P05030.pdb
PMA1	PMA1__TMD6	6	755	774	20	918	No_eS7_event	0	P05030	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/PMA1__P05030.pdb
PMA1	PMA1__TMD7	7	825	845	21	918	No_eS7_event	0	P05030	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/PMA1__P05030.pdb
PMA1	PMA1__TMD8	8	858	874	17	918	No_eS7_event	0	P05030	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/PMA1__P05030.pdb
CHO2	CHO2__TMD1	1	56	76	21	869	No_eS7_event	0	P05374	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHO2__P05374.pdb
CHO2	CHO2__TMD2	2	87	107	21	869	No_eS7_event	0	P05374	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHO2__P05374.pdb
CHO2	CHO2__TMD3	3	188	208	21	869	No_eS7_event	0	P05374	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHO2__P05374.pdb
CHO2	CHO2__TMD4	4	213	233	21	869	No_eS7_event	0	P05374	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHO2__P05374.pdb
CHO2	CHO2__TMD5	5	259	279	21	869	No_eS7_event	0	P05374	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHO2__P05374.pdb
CHO2	CHO2__TMD6	6	292	310	19	869	No_eS7_event	0	P05374	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHO2__P05374.pdb
CHO2	CHO2__TMD7	7	363	383	21	869	No_eS7_event	0	P05374	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHO2__P05374.pdb
CHO2	CHO2__TMD8	8	390	410	21	869	No_eS7_event	0	P05374	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHO2__P05374.pdb
CHO2	CHO2__TMD9	9	440	460	21	869	No_eS7_event	0	P05374	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHO2__P05374.pdb
CHO2	CHO2__TMD10	10	464	484	21	869	No_eS7_event	0	P05374	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHO2__P05374.pdb
CHO2	CHO2__TMD11	11	535	555	21	869	No_eS7_event	0	P05374	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHO2__P05374.pdb
OPI3	OPI3__TMD1	1	54	74	21	206	No_eS7_event	0	P05375	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/OPI3__P05375.pdb
OPI3	OPI3__TMD2	2	102	122	21	206	No_eS7_event	0	P05375	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/OPI3__P05375.pdb
OPI3	OPI3__TMD3	3	166	186	21	206	No_eS7_event	0	P05375	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/OPI3__P05375.pdb
PIS1	PIS1__TMD1	1	21	41	21	220	No_eS7_event	0	P06197	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/PIS1__P06197.pdb
PIS1	PIS1__TMD2	2	46	66	21	220	No_eS7_event	0	P06197	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/PIS1__P06197.pdb
PIS1	PIS1__TMD3	3	76	96	21	220	No_eS7_event	0	P06197	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/PIS1__P06197.pdb
PIS1	PIS1__TMD4	4	99	119	21	220	No_eS7_event	0	P06197	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/PIS1__P06197.pdb
PIS1	PIS1__TMD5	5	146	166	21	220	No_eS7_event	0	P06197	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/PIS1__P06197.pdb
PIS1	PIS1__TMD6	6	171	191	21	220	No_eS7_event	0	P06197	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/PIS1__P06197.pdb
CYT1	CYT1__TMD1	1	263	296	34	309	No_eS7_event	0	P07143	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CYT1__P07143.pdb
TOM70	TOM70__TMD1	1	11	30	20	617	No_eS7_event	0	P07213	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/TOM70__P07213.pdb
COX9	COX9__TMD1	1	9	44	36	59	No_eS7_event	0	P07255	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX9__P07255.pdb
ALG7	ALG7__TMD1	1	24	44	21	448	No_eS7_event	0	P07286	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ALG7__P07286.pdb
ALG7	ALG7__TMD2	2	72	92	21	448	No_eS7_event	0	P07286	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ALG7__P07286.pdb
ALG7	ALG7__TMD3	3	129	149	21	448	No_eS7_event	0	P07286	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ALG7__P07286.pdb
ALG7	ALG7__TMD4	4	157	177	21	448	No_eS7_event	0	P07286	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ALG7__P07286.pdb
ALG7	ALG7__TMD5	5	202	222	21	448	No_eS7_event	0	P07286	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ALG7__P07286.pdb
ALG7	ALG7__TMD6	6	231	251	21	448	No_eS7_event	0	P07286	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ALG7__P07286.pdb
ALG7	ALG7__TMD7	7	256	276	21	448	No_eS7_event	0	P07286	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ALG7__P07286.pdb
ALG7	ALG7__TMD8	8	283	303	21	448	No_eS7_event	0	P07286	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ALG7__P07286.pdb
ALG7	ALG7__TMD9	9	309	329	21	448	No_eS7_event	0	P07286	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ALG7__P07286.pdb
ALG7	ALG7__TMD10	10	387	407	21	448	No_eS7_event	0	P07286	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ALG7__P07286.pdb
ALG7	ALG7__TMD11	11	419	439	21	448	No_eS7_event	0	P07286	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ALG7__P07286.pdb
CHS1	CHS1__TMD1	1	795	815	21	1131	No_eS7_event	0	P08004	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHS1__P08004.pdb
CHS1	CHS1__TMD2	2	833	853	21	1131	No_eS7_event	0	P08004	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHS1__P08004.pdb
CHS1	CHS1__TMD3	3	866	886	21	1131	No_eS7_event	0	P08004	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHS1__P08004.pdb
CHS1	CHS1__TMD4	4	914	934	21	1131	No_eS7_event	0	P08004	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHS1__P08004.pdb
CHS1	CHS1__TMD5	5	942	962	21	1131	No_eS7_event	0	P08004	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHS1__P08004.pdb
CHS1	CHS1__TMD6	6	1042	1062	21	1131	No_eS7_event	0	P08004	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHS1__P08004.pdb
CHS1	CHS1__TMD7	7	1101	1121	21	1131	No_eS7_event	0	P08004	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHS1__P08004.pdb
RIP1	RIP1__TMD1	1	51	80	30	215	No_eS7_event	0	P08067	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/RIP1__P08067.pdb
CHO1	CHO1__TMD1	1	82	102	21	276	No_eS7_event	0	P08456	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHO1__P08456.pdb
CHO1	CHO1__TMD2	2	163	183	21	276	No_eS7_event	0	P08456	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHO1__P08456.pdb
CHO1	CHO1__TMD3	3	210	230	21	276	No_eS7_event	0	P08456	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHO1__P08456.pdb
CHO1	CHO1__TMD4	4	248	268	21	276	No_eS7_event	0	P08456	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/CHO1__P08456.pdb
QCR8	QCR8__TMD1	1	50	80	31	94	No_eS7_event	0	P08525	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/QCR8__P08525.pdb
KEX1	KEX1__TMD1	1	617	637	21	729	No_eS7_event	0	P09620	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/KEX1__P09620.pdb
AQY1	AQY1__TMD1	1	49	69	21	305	No_eS7_event	0	P0CD91	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/AQY1__P0CD91.pdb
AQY1	AQY1__TMD2	2	92	112	21	305	No_eS7_event	0	P0CD91	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/AQY1__P0CD91.pdb
AQY1	AQY1__TMD3	3	137	157	21	305	No_eS7_event	0	P0CD91	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/AQY1__P0CD91.pdb
AQY1	AQY1__TMD4	4	177	197	21	305	No_eS7_event	0	P0CD91	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/AQY1__P0CD91.pdb
AQY1	AQY1__TMD5	5	204	224	21	305	No_eS7_event	0	P0CD91	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/AQY1__P0CD91.pdb
AQY1	AQY1__TMD6	6	249	269	21	305	No_eS7_event	0	P0CD91	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/AQY1__P0CD91.pdb
COX7	COX7__TMD1	1	30	53	24	60	No_eS7_event	0	P10174	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX7__P10174.pdb
ERG11	ERG11__TMD1	1	21	41	21	530	No_eS7_event	0	P10614	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/ERG11__P10614.pdb
SNF3	SNF3__TMD1	1	98	118	21	884	No_eS7_event	0	P10870	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/SNF3__P10870.pdb
SNF3	SNF3__TMD2	2	144	164	21	884	No_eS7_event	0	P10870	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/SNF3__P10870.pdb
SNF3	SNF3__TMD3	3	179	199	21	884	No_eS7_event	0	P10870	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/SNF3__P10870.pdb
SNF3	SNF3__TMD4	4	203	223	21	884	No_eS7_event	0	P10870	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/SNF3__P10870.pdb
SNF3	SNF3__TMD5	5	230	250	21	884	Shared	0	P10870	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/SNF3__P10870.pdb
SNF3	SNF3__TMD6	6	265	285	21	884	No_eS7_event	0	P10870	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/SNF3__P10870.pdb
SNF3	SNF3__TMD7	7	359	379	21	884	No_eS7_event	0	P10870	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/SNF3__P10870.pdb
SNF3	SNF3__TMD8	8	392	412	21	884	No_eS7_event	0	P10870	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/SNF3__P10870.pdb
SNF3	SNF3__TMD9	9	420	440	21	884	4KR-specific	0	P10870	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/SNF3__P10870.pdb
SNF3	SNF3__TMD10	10	452	472	21	884	No_eS7_event	0	P10870	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/SNF3__P10870.pdb
SNF3	SNF3__TMD11	11	489	509	21	884	No_eS7_event	0	P10870	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/SNF3__P10870.pdb
SNF3	SNF3__TMD12	12	522	542	21	884	Shared	0	P10870	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/SNF3__P10870.pdb
PHO8	PHO8__TMD1	1	34	59	26	566	No_eS7_event	0	P11491	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/PHO8__P11491.pdb
SEC12	SEC12__TMD1	1	355	373	19	471	No_eS7_event	0	P11655	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/SEC12__P11655.pdb
