gene	protein_length	n_tmd	n_WT_lost	has_WT_lost	n_any_eS7_event	has_any_eS7_event	n_4KR_specific	has_4KR_specific	n_shared	has_shared	single_pass	multi_pass	loc_er	loc_golgi	loc_cell_membrane	loc_mitochondrion	loc_vacuole	loc_nucleus	is_transporter_like	is_transferase_like	mean_tmd_length_aa	mean_relative_tmd_position	min_relative_tmd_position	max_relative_tmd_position	subcellular_location	protein_name	entry_name	uniprot_accession	uniprot_gene_names	uniprot_protein_name	uniprot_length	alphafold_id	alphafold_pdb_url	alphafold_cif_url
AI5_ALPHA	630	10	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	20.9	0.55	0.1	1.0	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}. Membrane {ECO:0000255, ECO:0000305}; Multi-pass membrane protein {ECO:0000255, ECO:0000305}.	Intron-encoded DNA endonuclease aI5 alpha (DNA endonuclease I-SceIV) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI5 alpha (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIV)]	SCE4_YEAST	Q9ZZX1	AI5_ALPHA I-SCEIV Q0070	Intron-encoded DNA endonuclease aI5 alpha (DNA endonuclease I-SceIV) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI5 alpha (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIV)]	630	AF-Q9ZZX1-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-Q9ZZX1-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-Q9ZZX1-F1-model_v4.cif
AIF1	378	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	19.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Nucleus {ECO:0000269|PubMed:15381687}. Note=Translocates from mitochondrion to the nucleus upon apoptosis induction.	Apoptosis-inducing factor 1 (EC 1.-.-.-) (Cercosporin and photosensitizer-detoxification protein 1)	AIF1_YEAST	P52923	AIF1 CPD1 YNR074C N3815	Apoptosis-inducing factor 1 (EC 1.-.-.-) (Cercosporin and photosensitizer-detoxification protein 1)	378	AF-P52923-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P52923-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P52923-F1-model_v4.cif
AIM11	137	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	20.5	0.75	0.5	1.0	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Altered inheritance of mitochondria protein 11 (Genetic interactor of prohibitins 8)	AIM11_YEAST	P87275	AIM11 GEP8 YER093C-A	Altered inheritance of mitochondria protein 11 (Genetic interactor of prohibitins 8)	137	AF-P87275-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P87275-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P87275-F1-model_v4.cif
AIM14	570	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21.0	0.6	0.2	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	Probable metalloreductase AIM14 (EC 1.16.1.-) (Altered inheritance of mitochondria protein 14)	AIM14_YEAST	P53109	AIM14 YGL160W G1837	Probable metalloreductase AIM14 (EC 1.16.1.-) (Altered inheritance of mitochondria protein 14)	570	AF-P53109-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P53109-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P53109-F1-model_v4.cif
AIM19	157	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	17.25	0.625	0.25	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.	Altered inheritance of mitochondria protein 19, mitochondrial	AIM19_YEAST	P40502	AIM19 YIL087C	Altered inheritance of mitochondria protein 19, mitochondrial	157	AF-P40502-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P40502-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P40502-F1-model_v4.cif
AIM20	204	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:14562095}; Single-pass membrane protein {ECO:0000269|PubMed:14562095}.	Altered inheritance of mitochondria protein 20	AIM20_YEAST	P40451	AIM20 YIL158W	Altered inheritance of mitochondria protein 20	204	AF-P40451-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P40451-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P40451-F1-model_v4.cif
AIM26	118	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	21.0	0.6666666666666666	0.3333333333333333	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:19793921}; Multi-pass membrane protein {ECO:0000269|PubMed:19793921}.	Altered inheritance of mitochondria protein 26, mitochondrial	AIM26_YEAST	P32858	AIM26 YKL037W YKL250	Altered inheritance of mitochondria protein 26, mitochondrial	118	AF-P32858-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P32858-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P32858-F1-model_v4.cif
AIM33	312	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21.0	0.6666666666666666	0.3333333333333333	1.0	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Uncharacterized oxidoreductase AIM33 (EC 1.-.-.-) (Altered inheritance of mitochondria protein 33)	AIM33_YEAST	Q04516	AIM33 YML087C	Uncharacterized oxidoreductase AIM33 (EC 1.-.-.-) (Altered inheritance of mitochondria protein 33)	312	AF-Q04516-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-Q04516-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-Q04516-F1-model_v4.cif
AIM34	198	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	16.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:14562095}; Single-pass membrane protein {ECO:0000269|PubMed:14562095}.	Altered inheritance of mitochondria protein 34, mitochondrial	AIM34_YEAST	Q03673	AIM34 YMR003W YM8270.05	Altered inheritance of mitochondria protein 34, mitochondrial	198	AF-Q03673-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-Q03673-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-Q03673-F1-model_v4.cif
AIM36	255	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	19.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:14562095}; Single-pass membrane protein {ECO:0000269|PubMed:14562095}.	Altered inheritance of mitochondria protein 36, mitochondrial (Found in mitochondrial proteome protein 39)	AIM36_YEAST	Q03798	AIM36 FMP39 YMR157C YM8520.06C	Altered inheritance of mitochondria protein 36, mitochondrial (Found in mitochondrial proteome protein 39)	255	AF-Q03798-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-Q03798-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-Q03798-F1-model_v4.cif
AIM39	395	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	Altered inheritance of mitochondria protein 39, mitochondrial	AIM39_YEAST	Q08223	AIM39 YOL053W O1269	Altered inheritance of mitochondria protein 39, mitochondrial	395	AF-Q08223-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-Q08223-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-Q08223-F1-model_v4.cif
AKR1	764	6	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	20.333333333333332	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Early endosome membrane; Multi-pass membrane protein. Golgi apparatus membrane; Multi-pass membrane protein.	Palmitoyltransferase AKR1 (EC 2.3.1.225) (Ankyrin repeat-containing protein AKR1)	AKR1_YEAST	P39010	AKR1 YDR264C D9954.9 YD9230B.03C	Palmitoyltransferase AKR1 (EC 2.3.1.225) (Ankyrin repeat-containing protein AKR1)	764	AF-P39010-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P39010-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P39010-F1-model_v4.cif
AKR2	749	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	21.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	Probable palmitoyltransferase AKR2 (EC 2.3.1.225) (Ankyrin repeat-containing protein AKR2)	AKR2_YEAST	Q12013	AKR2 YOR034C OR26.25	Probable palmitoyltransferase AKR2 (EC 2.3.1.225) (Ankyrin repeat-containing protein AKR2)	749	AF-Q12013-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-Q12013-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-Q12013-F1-model_v4.cif
ALE1	619	7	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	20.857142857142858	0.5714285714285714	0.1428571428571428	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:17890783}; Multi-pass membrane protein.	Lysophospholipid acyltransferase (LPLAT) (EC 2.3.1.23) (EC 2.3.1.51) (EC 2.3.1.n6) (EC 2.3.1.n7) (1-acyl-sn-glycerol-3-phosphate acyltransferase) (AGPAT) (Lysophosphatidic acid acyltransferase) (LPAAT) (Lysophosphatidylcholine acyltransferase) (LPCAT) (Lysophosphatidylethanolamine acyltransferase) (LPEAT) (Lysophosphatidylserine acyltransferase) (LPSAT) (Sphingolipid compensation protein 4)	ALE1_YEAST	Q08548	ALE1 LCA1 LPT1 SLC4 YOR175C O3635	Lysophospholipid acyltransferase (LPLAT) (EC 2.3.1.23) (EC 2.3.1.51) (EC 2.3.1.n6) (EC 2.3.1.n7) (1-acyl-sn-glycerol-3-phosphate acyltransferase) (AGPAT) (Lysophosphatidic acid acyltransferase) (LPAAT) (Lysophosphatidylcholine acyltransferase) (LPCAT) (Lysophosphatidylethanolamine acyltransferase) (LPEAT) (Lysophosphatidylserine acyltransferase) (LPSAT) (Sphingolipid compensation protein 4)	619	AF-Q08548-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-Q08548-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-Q08548-F1-model_v4.cif
ALG1	449	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:29939232}; Single-pass membrane protein {ECO:0000269|PubMed:29939232}.	Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase)	ALG1_YEAST	P16661	ALG1 YBR110W YBR0906	Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase)	449	AF-P16661-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P16661-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P16661-F1-model_v4.cif
ALG11	548	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11278778, ECO:0000269|PubMed:19929855}; Single-pass membrane protein {ECO:0000269|PubMed:19929855}.	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Alpha-1,2-mannosyltransferase ALG11) (Asparagine-linked glycosylation protein 11) (Glycolipid 2-alpha-mannosyltransferase)	ALG11_YEAST	P53954	ALG11 YNL048W N2510 YNL2510W	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Alpha-1,2-mannosyltransferase ALG11) (Asparagine-linked glycosylation protein 11) (Glycolipid 2-alpha-mannosyltransferase)	548	AF-P53954-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P53954-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P53954-F1-model_v4.cif
ALG12	551	12	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.0	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000255}.	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Extracellular mutant protein 39) (Mannosyltransferase ALG12)	ALG12_YEAST	P53730	ALG12 ECM39 YNR030W N3265	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Extracellular mutant protein 39) (Mannosyltransferase ALG12)	551	AF-P53730-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P53730-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P53730-F1-model_v4.cif
ALG14	237	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15282802, ECO:0000269|PubMed:16100110, ECO:0000269|PubMed:17686769}; Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000269|PubMed:15282802}; Single-pass membrane protein {ECO:0000255}.	UDP-N-acetylglucosamine transferase subunit ALG14 (Asparagine-linked glycosylation protein 14)	ALG14_YEAST	P38242	ALG14 YBR070C YBR0711	UDP-N-acetylglucosamine transferase subunit ALG14 (Asparagine-linked glycosylation protein 14)	237	AF-P38242-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P38242-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P38242-F1-model_v4.cif
ALG2	503	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.0	0.6666666666666666	0.3333333333333333	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15044395}; Multi-pass membrane protein {ECO:0000269|PubMed:15044395}.	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)	ALG2_YEAST	P43636	ALG2 YGL065C	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)	503	AF-P43636-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P43636-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P43636-F1-model_v4.cif
ALG3	458	10	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.0	0.55	0.1	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:11308030}; Multi-pass membrane protein {ECO:0000255}.	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (HM-1 killer toxin resistance protein)	ALG3_YEAST	P38179	ALG3 RHK1 YBL082C YBL0720	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (HM-1 killer toxin resistance protein)	458	AF-P38179-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P38179-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P38179-F1-model_v4.cif
ALG5	334	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:8076653}; Single-pass membrane protein {ECO:0000255}. Note=Its interaction with the substrate UDP-glucose may occur at the cytoplasmic side of the ER, whereas the steps utilizing dolichyl beta-D-glucosyl phosphate take place in the lumen of the ER. {ECO:0000269|PubMed:8076653}.	Dolichyl-phosphate beta-glucosyltransferase (DolP-glucosyltransferase) (EC 2.4.1.117) (Asparagine-linked glycosylation protein 5)	ALG5_YEAST	P40350	ALG5 YPL227C P1437	Dolichyl-phosphate beta-glucosyltransferase (DolP-glucosyltransferase) (EC 2.4.1.117) (Asparagine-linked glycosylation protein 5)	334	AF-P40350-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P40350-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P40350-F1-model_v4.cif
ALG6	544	11	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.0	0.5454545454545454	0.0909090909090909	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:8877369}; Multi-pass membrane protein {ECO:0000255}.	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.267) (Asparagine-linked glycosylation protein 6) (Dol-P-Glc:Man(9)GlcNAc(2)-PP-Dol alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase)	ALG6_YEAST	Q12001	ALG6 YOR002W UNA544	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.267) (Asparagine-linked glycosylation protein 6) (Dol-P-Glc:Man(9)GlcNAc(2)-PP-Dol alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase)	544	AF-Q12001-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-Q12001-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-Q12001-F1-model_v4.cif
