gene	protein_length	n_tmd	n_WT_lost	has_WT_lost	n_any_eS7_event	has_any_eS7_event	n_4KR_specific	has_4KR_specific	n_shared	has_shared	single_pass	multi_pass	loc_er	loc_golgi	loc_cell_membrane	loc_mitochondrion	loc_vacuole	loc_nucleus	is_transporter_like	is_transferase_like	mean_tmd_length_aa	mean_relative_tmd_position	min_relative_tmd_position	max_relative_tmd_position	subcellular_location	protein_name	entry_name
AIM19	157	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	17.25	0.625	0.25	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.	Altered inheritance of mitochondria protein 19, mitochondrial	AIM19_YEAST
AIM20	204	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:14562095}; Single-pass membrane protein {ECO:0000269|PubMed:14562095}.	Altered inheritance of mitochondria protein 20	AIM20_YEAST
AIM26	118	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	21.0	0.6666666666666666	0.3333333333333333	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:19793921}; Multi-pass membrane protein {ECO:0000269|PubMed:19793921}.	Altered inheritance of mitochondria protein 26, mitochondrial	AIM26_YEAST
AIM33	312	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21.0	0.6666666666666666	0.3333333333333333	1.0	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Uncharacterized oxidoreductase AIM33 (EC 1.-.-.-) (Altered inheritance of mitochondria protein 33)	AIM33_YEAST
AIM34	198	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	16.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:14562095}; Single-pass membrane protein {ECO:0000269|PubMed:14562095}.	Altered inheritance of mitochondria protein 34, mitochondrial	AIM34_YEAST
AIM36	255	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	19.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:14562095}; Single-pass membrane protein {ECO:0000269|PubMed:14562095}.	Altered inheritance of mitochondria protein 36, mitochondrial (Found in mitochondrial proteome protein 39)	AIM36_YEAST
AIM39	395	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	Altered inheritance of mitochondria protein 39, mitochondrial	AIM39_YEAST
AKR1	764	6	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	20.333333333333332	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Early endosome membrane; Multi-pass membrane protein. Golgi apparatus membrane; Multi-pass membrane protein.	Palmitoyltransferase AKR1 (EC 2.3.1.225) (Ankyrin repeat-containing protein AKR1)	AKR1_YEAST
AKR2	749	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	21.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	Probable palmitoyltransferase AKR2 (EC 2.3.1.225) (Ankyrin repeat-containing protein AKR2)	AKR2_YEAST
ALE1	619	7	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	20.857142857142858	0.5714285714285714	0.1428571428571428	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:17890783}; Multi-pass membrane protein.	Lysophospholipid acyltransferase (LPLAT) (EC 2.3.1.23) (EC 2.3.1.51) (EC 2.3.1.n6) (EC 2.3.1.n7) (1-acyl-sn-glycerol-3-phosphate acyltransferase) (AGPAT) (Lysophosphatidic acid acyltransferase) (LPAAT) (Lysophosphatidylcholine acyltransferase) (LPCAT) (Lysophosphatidylethanolamine acyltransferase) (LPEAT) (Lysophosphatidylserine acyltransferase) (LPSAT) (Sphingolipid compensation protein 4)	ALE1_YEAST
ALG1	449	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:29939232}; Single-pass membrane protein {ECO:0000269|PubMed:29939232}.	Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase)	ALG1_YEAST
ALG11	548	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11278778, ECO:0000269|PubMed:19929855}; Single-pass membrane protein {ECO:0000269|PubMed:19929855}.	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Alpha-1,2-mannosyltransferase ALG11) (Asparagine-linked glycosylation protein 11) (Glycolipid 2-alpha-mannosyltransferase)	ALG11_YEAST
ALG12	551	12	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.0	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000255}.	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Extracellular mutant protein 39) (Mannosyltransferase ALG12)	ALG12_YEAST
ALG14	237	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15282802, ECO:0000269|PubMed:16100110, ECO:0000269|PubMed:17686769}; Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000269|PubMed:15282802}; Single-pass membrane protein {ECO:0000255}.	UDP-N-acetylglucosamine transferase subunit ALG14 (Asparagine-linked glycosylation protein 14)	ALG14_YEAST
ALG2	503	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.0	0.6666666666666666	0.3333333333333333	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15044395}; Multi-pass membrane protein {ECO:0000269|PubMed:15044395}.	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)	ALG2_YEAST
ALG3	458	10	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.0	0.55	0.1	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:11308030}; Multi-pass membrane protein {ECO:0000255}.	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (HM-1 killer toxin resistance protein)	ALG3_YEAST
ALG5	334	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:8076653}; Single-pass membrane protein {ECO:0000255}. Note=Its interaction with the substrate UDP-glucose may occur at the cytoplasmic side of the ER, whereas the steps utilizing dolichyl beta-D-glucosyl phosphate take place in the lumen of the ER. {ECO:0000269|PubMed:8076653}.	Dolichyl-phosphate beta-glucosyltransferase (DolP-glucosyltransferase) (EC 2.4.1.117) (Asparagine-linked glycosylation protein 5)	ALG5_YEAST
ALG6	544	11	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.0	0.5454545454545454	0.0909090909090909	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:8877369}; Multi-pass membrane protein {ECO:0000255}.	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.267) (Asparagine-linked glycosylation protein 6) (Dol-P-Glc:Man(9)GlcNAc(2)-PP-Dol alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase)	ALG6_YEAST
ALG7	448	11	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.0	0.5454545454545454	0.0909090909090909	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P23338}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9H3H5}.	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (G1PT) (GPT) (N-acetylglucosamine-1-phosphate transferase) (Tunicamycin resistance protein 1)	GPT_YEAST
ALG8	577	13	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.0	0.5384615384615384	0.0769230769230769	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:3536907}; Multi-pass membrane protein {ECO:0000255}.	Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.265) (Asparagine-linked glycosylation protein 8) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase)	ALG8_YEAST
ALG9	555	9	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.0	0.5555555555555556	0.1111111111111111	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:15987956}; Multi-pass membrane protein {ECO:0000269|PubMed:16847258}.	Alpha-1,2-mannosyltransferase ALG9 (EC 2.4.1.259) (EC 2.4.1.261) (Asparagine-linked glycosylation protein 9) (Dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase) (Dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase)	ALG9_YEAST
ALP1	573	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	20.916666666666668	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	Basic amino-acid permease	ALP1_YEAST
ALR1	859	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:9430719}; Multi-pass membrane protein {ECO:0000305}.	Magnesium transporter ALR1 (Aluminum resistance protein 1)	ALR1_YEAST
ALR2	858	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:9430719}; Multi-pass membrane protein {ECO:0000305}.	Magnesium transporter ALR2 (Aluminum resistance protein 2)	ALR2_YEAST
AMF1	515	13	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	21.0	0.5384615384615384	0.0769230769230769	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:24707045}; Multi-pass membrane protein {ECO:0000255}.	Low affinity ammonium transporter (Ammonium facilitator 1)	AMF1_YEAST
ANP1	500	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	12.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11095735}; Single-pass type II membrane protein {ECO:0000305|PubMed:9434768}. Golgi apparatus membrane {ECO:0000269|PubMed:10713261, ECO:0000269|PubMed:9430634, ECO:0000269|PubMed:9434768}; Single-pass type II membrane protein {ECO:0000305|PubMed:9434768}. Note=Cis-Golgi (PubMed:9430634). Recycles between endoplasmic reticulum and Golgi (PubMed:11095735). {ECO:0000269|PubMed:11095735, ECO:0000269|PubMed:9430634}.	Mannan polymerase II complex ANP1 subunit (M-Pol II subunit ANP1) (Aminonitrophenyl propanediol resistance protein)	ANP1_YEAST
ANT1	328	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	20.5	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Peroxisome membrane {ECO:0000269|PubMed:11390660, ECO:0000269|PubMed:11566870, ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000269|PubMed:11390660, ECO:0000269|PubMed:11566870, ECO:0000269|PubMed:14562095}.	Peroxisomal adenine nucleotide transporter 1	ANT1_YEAST
ANY1	405	8	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	21.5	0.5625	0.125	1.0	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:27811238, ECO:0000269|PubMed:28057802}; Multi-pass membrane protein {ECO:0000269|PubMed:27811238}. Late endosome membrane {ECO:0000269|PubMed:27811238, ECO:0000269|PubMed:28057802}; Multi-pass membrane protein {ECO:0000269|PubMed:27811238}.	Scramblase ANY1 (Antagonizes NEO1 phospholipid flippase protein 1) (CDC50 suppressor 1)	ANY1_YEAST
APQ12	138	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	18.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Nucleus membrane; Multi-pass membrane protein. Endoplasmic reticulum membrane; Multi-pass membrane protein.	Nuclear membrane organization protein APQ12	APQ12_YEAST
AQR1	586	11	3	1	4	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	21.0	0.5454545454545454	0.0909090909090909	1.0	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:11922628}; Multi-pass membrane protein {ECO:0000269|PubMed:11922628}.	Probable transporter AQR1	AQR1_YEAST
AQY1	305	6	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	21.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein. Cell membrane {ECO:0000250}; Multi-pass membrane protein.	Aquaporin-1	AQY1_YEAST
AQY2	149	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095}. Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.	Aquaporin-like protein 2 (Truncated aquaporin-2)	AQY2_YEAST
AQY3	646	6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	21.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:12832087}; Multi-pass membrane protein {ECO:0000255}.	Aquaglycerol porin AQY3 (Aquaporin-3)	AQY3_YEAST
ARE1	610	7	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.0	0.5714285714285714	0.1428571428571428	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:10672016}; Multi-pass membrane protein {ECO:0000255}.	Sterol O-acyltransferase 1 (EC 2.3.1.-) (Sterol-ester synthase 1)	ARE1_YEAST
ARE2	642	7	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.0	0.5714285714285714	0.1428571428571428	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:10672016}; Multi-pass membrane protein {ECO:0000255}.	Sterol O-acyltransferase 2 (EC 2.3.1.-) (Sterol-ester synthase 2)	ARE2_YEAST
ARN1	627	13	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	21.0	0.5384615384615384	0.0769230769230769	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12721368}; Multi-pass membrane protein {ECO:0000269|PubMed:16847258}. Endosome membrane {ECO:0000269|PubMed:10748025}; Multi-pass membrane protein {ECO:0000269|PubMed:16847258}.	Siderophore iron transporter ARN1 (Ferrichrome permease)	ARN1_YEAST
ARN2	620	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	21.571428571428573	0.5357142857142857	0.0714285714285714	1.0	SUBCELLULAR LOCATION: Endosome membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.	Siderophore iron transporter ARN2 (Triacetylfusarinine C permease) (Triacetylfusarinine C transporter 1)	ARN2_YEAST
ARR3	404	10	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	21.0	0.55	0.1	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20655873, ECO:0000269|PubMed:21447319, ECO:0000269|PubMed:24291645, ECO:0000269|PubMed:26123064, ECO:0000305|PubMed:9374482}; Multi-pass membrane protein {ECO:0000255, ECO:0000305|PubMed:9374482}.	Arsenical-resistance protein 3 (Arsenic compounds resistance protein 3) (As(III)/H(+) and Sb(III)/H(+)antiporter)	ARR3_YEAST
ARV1	321	4	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	21.5	0.625	0.25	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12145310}; Multi-pass membrane protein {ECO:0000269|PubMed:12145310}. Golgi apparatus membrane {ECO:0000269|PubMed:12145310}; Multi-pass membrane protein {ECO:0000269|PubMed:12145310}.	Protein ARV1	ARV1_YEAST
ASG7	209	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Endomembrane system {ECO:0000269|PubMed:11073983}; Multi-pass membrane protein {ECO:0000269|PubMed:11073983}.	Protein ASG7 (A-specific gene 7 protein)	ASG7_YEAST
ASI1	624	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	21.0	0.6	0.2	1.0	SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16735580, ECO:0000269|PubMed:17085444, ECO:0000269|PubMed:27831485}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16735580, ECO:0000269|PubMed:17085444}.	ERAD-associated E3 ubiquitin-protein ligase ASI1 (EC 2.3.2.27) (Amino acid sensor-independent protein 1)	ASI1_YEAST
ASI2	289	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:17085444}; Multi-pass membrane protein {ECO:0000269|PubMed:17085444}.	Protein ASI2 (Amino acid sensor-independent protein 2)	ASI2_YEAST
ASI3	676	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	21.0	0.6	0.2	1.0	SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:17085444}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:17085444}.	Probable ERAD-associated E3 ubiquitin-protein ligase ASI1 (EC 2.3.2.27) (Amino acid sensor-independent protein 3)	ASI3_YEAST
ATG15	520	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Endosome, multivesicular body membrane {ECO:0000269|PubMed:12499386}; Single-pass type II membrane protein {ECO:0000269|PubMed:12499386}. Prevacuolar compartment membrane {ECO:0000269|PubMed:12499386}; Single-pass type II membrane protein {ECO:0000269|PubMed:12499386}. Note=From ER, targeted to vacuolar lumen at the MVB vesicles via the Golgi and the prevacuolar compartment (PVC). {ECO:0000269|PubMed:12499386}.	Putative lipase ATG15 (EC 3.1.1.3) (Autophagy-related protein 15) (Cytoplasm to vacuole targeting protein 17)	ATG15_YEAST
ATG22	528	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	21.0	0.55	0.1	1.0	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:17021250}; Multi-pass membrane protein {ECO:0000269|PubMed:17021250}. Note=Vacuole and punctate structures.	Autophagy-related protein 22	ATG22_YEAST
