Entry	Entry Name	Gene Names	Protein names	Length
P00546	CDK1_YEAST	CDC28 CDK1 HSL5 SRM5 YBR160W YBR1211	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (Cell division control protein 28) (Cell division protein kinase 1)	298
P00549	KPYK1_YEAST	CDC19 PYK1 YAL038W	Pyruvate kinase 1 (PK 1) (EC 2.7.1.40) (cell division cycle protein 19)	500
P00560	PGK_YEAST	PGK1 YCR012W YCR12W	Phosphoglycerate kinase (EC 2.7.2.3)	416
P00572	KTHY_YEAST	CDC8 YJR057W J1715	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	216
P00635	PPA5_YEAST	PHO5 YBR093C YBR0814	Repressible acid phosphatase (EC 3.1.3.2) (P60)	467
P00724	INV2_YEAST	SUC2 YIL162W	Invertase 2 (EC 3.2.1.26) (Beta-fructofuranosidase 2) (Saccharase)	532
P00729	CBPY_YEAST	PRC1 YMR297W	Carboxypeptidase Y (CPD-Y) (cpY) (EC 3.4.16.5) (Carboxypeptidase YSCY)	532
P00812	ARGI_YEAST	CAR1 YPL111W LPH15W	Arginase (EC 3.5.3.1)	333
P00815	HIS2_YEAST	HIS4 YCL030C YCL183 YCL30C	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	799
P00817	IPYR_YEAST	IPP1 PPA PPA1 YBR011C YBR0202	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	287
P00830	ATPB_YEAST	ATP2 YJR121W J2041	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2)	511
P00854	ATP6_YEAST	ATP6 OLI2 OLI4 PHO1 Q0085	ATP synthase subunit a (F-ATPase protein 6)	259
P00890	CISY1_YEAST	CIT1 GLU3 LYS6 YNR001C N2019	Citrate synthase, mitochondrial (EC 2.3.3.1)	479
P00924	ENO1_YEAST	ENO1 ENOA HSP48 YGR254W G9160	Enolase 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 1) (2-phosphoglycerate dehydratase 1)	437
P00925	ENO2_YEAST	ENO2 ENOB YHR174W	Enolase 2 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 2) (2-phosphoglycerate dehydratase 2)	437
P00927	THDH_YEAST	ILV1 YER086W	Threonine dehydratase, mitochondrial (EC 4.3.1.19) (Threonine deaminase)	576
P00937	TRPG_YEAST	TRP3 YKL211C	Multifunctional tryptophan biosynthesis protein [Includes: Anthranilate synthase component 2 (AS) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Indole-3-glycerol phosphate synthase (EC 4.1.1.48) (PRAI)]	484
P00942	TPIS_YEAST	TPI1 YDR050C YD9609.05C	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	248
P00950	PMG1_YEAST	GPM1 GPM YKL152C YKL607	Phosphoglycerate mutase 1 (PGAM 1) (EC 5.4.2.11) (BPG-dependent PGAM 1) (MPGM 1) (Phosphoglyceromutase 1)	247
P00958	SYMC_YEAST	MES1 YGR264C	Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	751
P01094	IPA3_YEAST	PAI3 YMR174C YM8010.04C	Protease A inhibitor 3 (Proteinase inhibitor I(A)3) (Proteinase yscA-inhibitor) (Saccharopepsin inhibitor)	68
P01097	ATIF_YEAST	INH1 YDL181W D1305	F(1)-ATPase inhibitor IF(1), mitochondrial (ATPase inhibitory factor 1) (IF(1)) (IF1)	85
P01119	RAS1_YEAST	RAS1 YOR101W YOR3205W	Ras-like protein 1 (EC 3.6.5.2)	309
P01120	RAS2_YEAST	RAS2 ASC1 CTN5 GLC5 YNL098C N2198	Ras-like protein 2 (EC 3.6.5.2)	322
P01123	YPT1_YEAST	YPT1 YP2 YFL038C	GTP-binding protein YPT1 (Protein YP2) (Rab GTPase YPT1) (Transport GTPase YPT1)	206
P02293	H2B1_YEAST	HTB1 H2B1 SPT12 YDR224C YD9934.09C	Histone H2B.1 (Suppressor of Ty protein 12)	131
P02294	H2B2_YEAST	HTB2 H2B2 YBL002W YBL0104	Histone H2B.2	131
P02309	H4_YEAST	HHF1 YBR009C YBR0122; HHF2 YNL030W N2752	Histone H4	103
P02400	RLA4_YEAST	RPP2B L12EIA RPL45 RPLA4 YDR382W	Large ribosomal subunit protein P2B (P2B) (60S acidic ribosomal protein P2-beta) (L12eIA) (L45) (YL44C) (YP2beta) (YPA1)	110
P02406	RL28_YEAST	RPL28 CYH2 YGL103W	Large ribosomal subunit protein uL15 (60S ribosomal protein L28) (L27a) (L29) (RP44) (RP62) (YL24)	149
P02557	TBB_YEAST	TUB2 YFL037W	Tubulin beta chain (Beta-tubulin)	457
P02829	HSP82_YEAST	HSP82 HSP90 YPL240C	ATP-dependent molecular chaperone HSP82 (82 kDa heat shock protein) (Heat shock protein Hsp90 heat-inducible isoform)	709
P02992	EFTU_YEAST	TUF1 TUFM YOR187W	Elongation factor Tu, mitochondrial (EF-Tu) (EC 3.6.5.3) (tufM)	437
P02994	EF1A_YEAST	TEF1 YPR080W P9513.7; TEF2 YBR118W YBR0913	Elongation factor 1-alpha (EF-1-alpha) (Eukaryotic elongation factor 1A) (eEF1A) (Translation elongation factor 1A)	458
P03069	GCN4_YEAST	GCN4 AAS101 AAS3 ARG9 YEL009C	General control transcription factor GCN4 (Amino acid biosynthesis regulatory protein) (General control protein GCN4)	281
P03870	FLP_YEAST	FLP1 R0010W	Site-specific recombinase Flp (FLP) (Protein Able)	423
P03871	REP1_YEAST	REP1 R0020C	Partitioning protein REP1 (R1) (Protein Baker) (Trans-acting factor B)	373
P03873	MBI2_YEAST	BI2 Q0110	Cytochrome b mRNA maturase bI2	423
P03877	SCE3_YEAST	AI3 ENS3 I-SCEIII Q0060	Intron-encoded DNA endonuclease aI3 (DNA endonuclease I-SceIII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI3 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIII)]	415
P03878	SCE2_YEAST	AI4 ENS2 I-SCEII Q0065	Intron-encoded DNA endonuclease aI4 (DNA endonuclease I-SceII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI4 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceII)]	556
P03879	MBI4_YEAST	BI4 SCBI4 Q0120	Intron-encoded RNA maturase bI4 (RNA maturase SCbI4) [Cleaved into: Truncated, nonfunctional cytochrome b; RNA maturase bI4 (EC 3.1.-.-)]	638
P03962	PYRF_YEAST	URA3 YEL021W	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase) (Uridine 5'-monophosphate synthase) (UMP synthase)	267
P03965	CARB_YEAST	CPA2 YJR109C J2002	Carbamoyl phosphate synthase arginine-specific large chain (CPS) (CPSase) (CPSase-arg) (EC 6.3.4.16) (EC 6.3.5.5) (Ammonium-dependent carbamoyl phosphate synthetase) (Arginine-specific carbamoyl phosphate synthetase, ammonia chain) (Carbamoyl phosphate synthase A) (CPS-A) (Glutamine-dependent carbamoyl phosphate synthetase)	1118
P04037	COX4_YEAST	COX4 YGL187C G1362	Cytochrome c oxidase subunit 4, mitochondrial (Cytochrome c oxidase polypeptide IV)	155
P04039	COX8_YEAST	COX8 YLR395C L8084.14	Cytochrome c oxidase subunit 8, mitochondrial (Cytochrome c oxidase polypeptide VIII)	78
P04050	RPB1_YEAST	RPO21 RPB1 RPB220 SUA8 YDL140C D2150	DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit 1) (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase II subunit B220)	1733
P04051	RPC1_YEAST	RPO31 RPC1 RPC160 YOR116C O3254 YOR3254C	DNA-directed RNA polymerase III subunit RPC1 (RNA polymerase III subunit C1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase III subunit C160)	1460
P04147	PABP_YEAST	PAB1 YER165W	Polyadenylate-binding protein, cytoplasmic and nuclear (PABP) (Poly(A)-binding protein) (ARS consensus-binding protein ACBP-67) (Polyadenylate tail-binding protein)	577
P04385	GAL1_YEAST	GAL1 YBR020W YBR0302	Galactokinase (EC 2.7.1.6) (Galactose kinase)	528
P04386	GAL4_YEAST	GAL4 YPL248C	Regulatory protein GAL4	881
P04387	GAL80_YEAST	GAL80 YML051W YM9827.01 YM9958.12	Galactose/lactose metabolism regulatory protein GAL80	435
P04397	GAL10_YEAST	GAL10 YBR019C YBR0301	Bifunctional protein GAL10 [Includes: UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase); Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase)]	699
P04449	RL24A_YEAST	RPL24A RP29 RPL30A YGL031C	Large ribosomal subunit protein eL24A (60S ribosomal protein L24-A) (L30) (RP29) (YL21)	155
P04456	RL25_YEAST	RPL25 YOL127W	Large ribosomal subunit protein uL23 (60S ribosomal protein L25) (RP16L) (YL25) (YP42')	142
P04710	ADT1_YEAST	AAC1 YMR056C YM9796.09C	ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (Adenine nucleotide translocator 1) (ANT 1)	309
P04786	TOP1_YEAST	TOP1 MAK1 YOL006C	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Maintenance of killer protein 1)	769
P04802	SYDC_YEAST	DPS1 APS APS1 YLL018C L1295	Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	557
P04806	HXKA_YEAST	HXK1 HKA YFR053C	Hexokinase-1 (EC 2.7.1.1) (Hexokinase PI) (Hexokinase-A)	485
P04807	HXKB_YEAST	HXK2 HEX1 HKB YGL253W NRB486	Hexokinase-2 (EC 2.7.1.1) (Hexokinase PII) (Hexokinase-B)	486
P04817	CAN1_YEAST	CAN1 YEL063C	Arginine permease CAN1 (Canavanine resistance protein 1)	590
P04819	DNLI1_YEAST	CDC9 YDL164C	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)	755
P04821	CDC25_YEAST	CDC25 CTN1 YLR310C L2142.6	Cell division control protein 25	1589
P04840	VDAC1_YEAST	POR1 OMP2 VDAC1 YNL055C N2441 YNL2441C	Non-selective voltage-gated ion channel 1 (Outer mitochondrial membrane protein porin 1) (Voltage-dependent anion-selective channel protein 1) (VDAC-1)	283
P04911	H2A1_YEAST	HTA1 H2A1 SPT11 YDR225W YD9934.10	Histone H2A.1	132
P04912	H2A2_YEAST	HTA2 H2A2 YBL003C YBL0103	Histone H2A.2	132
P05030	PMA1_YEAST	PMA1 YGL008C	Plasma membrane ATPase 1 (EC 7.1.2.1) (Proton pump 1)	918
P05066	PHR_YEAST	PHR1 YOR386W	Deoxyribodipyrimidine photo-lyase, mitochondrial (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	565
P05150	OTC_YEAST	ARG3 YJL088W J0924	Ornithine carbamoyltransferase (EC 2.1.3.3) (Ornithine transcarbamylase) (OTCase)	338
P05317	RLA0_YEAST	RPP0 L10E RPA0 RPL10E RPLA0 YLR340W L8300.8	Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (A0) (L10e)	312
P05318	RLA1_YEAST	RPP1A L12EIIA RPA1 RPLA1 YDL081C	Large ribosomal subunit protein P1A (P1A) (60S acidic ribosomal protein P1-alpha) (A1) (L12eIIA) (YP1alpha)	106
P05319	RLA2_YEAST	RPP2A L12EIB RPA2 RPL44 RPLA2 YOL039W	Large ribosomal subunit protein P2A (P2A) (60S acidic ribosomal protein P2-alpha) (A2) (L12eIB) (L44) (YP2alpha)	106
P05373	HEM2_YEAST	HEM2 YGL040C	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	342
P05374	CHO2_YEAST	CHO2 PEM1 YGR157W G6673	Phosphatidylethanolamine N-methyltransferase (PE methyltransferase) (PEAMT) (PEMT) (EC 2.1.1.17) (Choline-requiring protein 2)	869
P05375	PLMT_YEAST	OPI3 PEM2 YJR073C J1824	Phosphatidyl-N-methylethanolamine N-methyltransferase (EC 2.1.1.17) (EC 2.1.1.71) (Overproducer of inositol protein 3) (Phospholipid methyltransferase) (PLMT)	206
P05453	ERF3_YEAST	SUP35 GST1 PNM2 SAL3 SUF12 SUP2 YDR172W YD9395.05	Eukaryotic peptide chain release factor GTP-binding subunit (EC 3.6.5.-) (ERF-3) (ERF3) (ERF2) (G1 to S phase transition protein 1) (Omnipotent suppressor protein 2) (PSI no more protein 2) (Polypeptide release factor 3) (Translation release factor 3)	685
P05737	RL7A_YEAST	RPL7A RPL6A RPL8A YL8A YGL076C	Large ribosomal subunit protein uL30A (60S ribosomal protein L7-A) (L6) (RP11) (YL8)	244
P05739	RL6B_YEAST	RPL6B RPL16B RPL17B YL16B YLR448W L9324.4	Large ribosomal subunit protein eL6B (60S ribosomal protein L6-B) (L17) (RP18) (YL16)	176
P05740	RL17A_YEAST	RPL17A RPL17 RPL20A YKL180W	Large ribosomal subunit protein uL22A (60S ribosomal protein L17-A) (L20A) (YL17)	184
P05744	RL33A_YEAST	RPL33A RPL37A YPL143W LPI4W P2625	Large ribosomal subunit protein eL33A (60S ribosomal protein L33-A) (L37) (RP47) (YL37)	107
P05745	RL36A_YEAST	RPL36A RPL39A YMR194W YM9646.06	Large ribosomal subunit protein eL36A (60S ribosomal protein L36-A) (L39) (YL39)	100
P05748	RL15A_YEAST	RPL15A RPL10A RPL13A YL10A YLR029C	Large ribosomal subunit protein eL15A (60S ribosomal protein L15-A) (L13) (RP15R) (YL10) (YP18)	204
P05750	RS3_YEAST	RPS3 SUF14 YNL178W N1653	Small ribosomal subunit protein uS3 (40S ribosomal protein S3) (RP13) (YS3)	240
P05755	RS9B_YEAST	RPS9B RPS13B SUP46 YBR189W YBR1317	Small ribosomal subunit protein uS4B (40S ribosomal protein S9-B) (RP21) (S13) (YP28) (YS11)	195
P05756	RS13_YEAST	RPS13 RPS13C YDR064W D4252 YD9609.18	Small ribosomal subunit protein uS15 (40S ribosomal protein S13) (S27a) (YS15)	151
P05759	RS31_YEAST	RPS31 RPS37 UBI3 YLR167W L9470.14	Ubiquitin-ribosomal protein eS31 fusion protein [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S31) (CEP76) (S37) (YS24)]	152
P05986	KAPC_YEAST	TPK3 PKA3 YKL166C YKL630	cAMP-dependent protein kinase type 3 (PKA 3) (EC 2.7.11.11)	398
P06100	NOT2_YEAST	CDC36 DNA19 NOT2 YDL165W	General negative regulator of transcription subunit 2 (cell division cycle protein 36)	191
P06101	CDC37_YEAST	CDC37 SMO1 YDR168W YD9489.03	Hsp90 co-chaperone Cdc37 (Cell division control protein 37) (Hsp90 chaperone protein kinase-targeting subunit)	506
P06102	NOT3_YEAST	NOT3 YIL038C	General negative regulator of transcription subunit 3	836
P06103	EIF3B_YEAST	PRT1 CDC63 YOR361C	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Cell cycle regulation and translation initiation protein) (Eukaryotic translation initiation factor 3 90 kDa subunit) (eIF3 p90) (Translation initiation factor eIF3 p90 subunit)	763
P06104	UBC2_YEAST	RAD6 UBC2 YGL058W	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Radiation sensitivity protein 6) (Ubiquitin carrier protein UBC2) (Ubiquitin-protein ligase UBC2)	172
P06105	SC160_YEAST	SCP160 HX YJL080C J1017	Protein SCP160 (Protein HX)	1222
P06106	CYSD_YEAST	MET17 MET15 MET25 YLR303W L8003.1	Homocysteine/cysteine synthase (EC 2.5.1.47) (EC 2.5.1.49) (O-acetylserine/O-acetylhomoserine sulfhydrylase) (OAS-OAH SHLase) (OAS-OAH sulfhydrylase)	444
P06115	CATT_YEAST	CTT1 YGR088W	Catalase T (EC 1.11.1.6)	562
P06168	ILV5_YEAST	ILV5 YLR355C L9638.7	Ketol-acid reductoisomerase, mitochondrial (EC 1.1.1.86) (Acetohydroxy-acid reductoisomerase) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Isoleucine-plus-valine requiring protein 5)	395
P06169	PDC1_YEAST	PDC1 YLR044C L2104	Pyruvate decarboxylase isozyme 1 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)	563
P06197	PIS_YEAST	PIS1 YPR113W P8283.5	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PIS) (PtdIns synthase)	220
P06208	LEU1_YEAST	LEU4 YNL104C N2173	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	619
P06242	KIN28_YEAST	KIN28 YDL108W D2330	Serine/threonine-protein kinase KIN28 (EC 2.7.11.23)	306
P06243	CDC7_YEAST	CDC7 OAF2 YDL017W D2855	Cell division control protein 7 (EC 2.7.11.1)	507
P06244	KAPA_YEAST	TPK1 PKA1 SRA3 YJL164C J0541	cAMP-dependent protein kinase type 1 (PKA 1) (EC 2.7.11.11) (CDC25-suppressing protein kinase) (PK-25)	397
P06245	KAPB_YEAST	TPK2 PKA2 YKR1 YPL203W	cAMP-dependent protein kinase type 2 (PKA 2) (EC 2.7.11.11)	380
P06367	RS14A_YEAST	RPS14A CRY1 RPL59 YCR031C YCR31C	Small ribosomal subunit protein uS11A (40S ribosomal protein S14-A) (RP59A)	137
P06634	DED1_YEAST	DED1 SPP81 YOR204W	ATP-dependent RNA helicase DED1 (EC 3.6.4.13) (DEAD box protein 1) (Defines essential domain protein 1)	604
P06700	SIR2_YEAST	SIR2 MAR1 YDL042C D2714	NAD-dependent histone deacetylase SIR2 (EC 2.3.1.286) (Regulatory protein SIR2) (Silent information regulator 2)	562
P06701	SIR3_YEAST	SIR3 CMT1 MAR2 STE8 YLR442C L9753.10	Regulatory protein SIR3 (Silent information regulator 3)	978
P06704	CDC31_YEAST	CDC31 DSK1 YOR257W	Cell division control protein 31 (Nuclear pore protein CDC31) (Nucleoporin CDC31)	161
P06738	PHSG_YEAST	GPH1 YPR160W P9584.1	Glycogen phosphorylase (EC 2.4.1.1)	902
P06774	HAP2_YEAST	HAP2 YGL237C	Transcriptional activator HAP2	265
P06777	RAD1_YEAST	RAD1 YPL022W	DNA repair protein RAD1	1100
P06778	RAD52_YEAST	RAD52 YML032C	DNA repair and recombination protein RAD52	471
P06779	RAD7_YEAST	RAD7 YJR052W J1665	DNA repair protein RAD7	565
P06780	RHO1_YEAST	RHO1 YPR165W P9325.3	GTP-binding protein RHO1 (EC 3.6.5.2) (Rho-type GTPase 1)	209
P06781	RHO2_YEAST	RHO2 YNL090W N2237	GTP-binding protein RHO2 (EC 3.6.5.2)	192
P06782	SNF1_YEAST	SNF1 CAT1 CCR1 GLC2 PAS14 YDR477W D8035.20	Carbon catabolite-derepressing protein kinase (EC 2.7.11.1) (Sucrose nonfermentating protein 1)	633
P06784	STE7_YEAST	STE7 YDL159W D1525	Serine/threonine-protein kinase STE7 (EC 2.7.12.2)	515
P06785	TYSY_YEAST	CDC21 CRT9 TMP1 YOR074C YOR29-25	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45) (Cell division cycle protein 21) (Constitutive RNR3 transcription protein 9)	304
P06786	TOP2_YEAST	TOP2 TOR3 YNL088W N2244	DNA topoisomerase 2 (EC 5.6.2.2) (DNA topoisomerase II)	1428
P06787	CALM_YEAST	CMD1 YBR109C YBR0904	Calmodulin (CaM)	147
P06838	RAD10_YEAST	RAD10 YML095C	DNA repair protein RAD10	210
P06839	RAD3_YEAST	RAD3 REM1 YER171W	General transcription and DNA repair factor IIH helicase subunit XPD/RAD3 (TFIIH subunit XPD) (EC 5.6.2.3) (DNA 5'-3' helicase RAD3) (DNA repair helicase RAD3) (RNA polymerase II transcription factor B subunit RAD3) (TFB subunit RAD3)	778
P06843	SPT2_YEAST	SPT2 SIN1 SPM2 YER161C	Protein SPT2 (Negative regulator of Ty transcription)	333
P06844	SPT3_YEAST	SPT3 YDR392W D9509.12	SAGA complex subunit SPT3 (Positive regulator of Ty transcription) (Suppressor of Ty protein 3)	337
P07143	CY1_YEAST	CYT1 CTC1 YOR065W YOR29-16	Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome c oxidoreductase cytochrome c1 subunit) (Cytochrome c-1)	309
