gene	protein_length	n_tmd	n_WT_lost	has_WT_lost	n_any_eS7_event	has_any_eS7_event	n_4KR_specific	has_4KR_specific	n_shared	has_shared	single_pass	multi_pass	loc_er	loc_golgi	loc_cell_membrane	loc_mitochondrion	loc_vacuole	loc_nucleus	is_transporter_like	is_transferase_like	mean_tmd_length_aa	mean_relative_tmd_position	min_relative_tmd_position	max_relative_tmd_position	subcellular_location	protein_name	entry_name	tmd_length_median	tmd_length_std	tmd_length_min	tmd_length_max	relative_position_std	first_tmd_position	last_tmd_position	tmd_density	tmd_aa_fraction	mean_tmd_gap	max_tmd_gap	protein_hydrophobicity_mean	protein_aromatic_fraction	protein_positive_fraction	protein_negative_fraction	protein_KR_fraction	protein_DE_fraction	protein_charge_balance_pos_minus_neg	tmd_hydrophobicity_mean	tmd_hydrophobicity_std	tmd_hydrophobicity_min	tmd_hydrophobicity_max	tmd_aromatic_fraction_mean	tmd_aromatic_fraction_std	tmd_positive_fraction_mean	tmd_positive_fraction_std	tmd_negative_fraction_mean	tmd_negative_fraction_std	tmd_charge_balance_mean	tmd_charge_balance_std
AI5_ALPHA	630	10	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	20.9	0.55	0.1	1.0	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}. Membrane {ECO:0000255, ECO:0000305}; Multi-pass membrane protein {ECO:0000255, ECO:0000305}.	Intron-encoded DNA endonuclease aI5 alpha (DNA endonuclease I-SceIV) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI5 alpha (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIV)]	SCE4_YEAST	21.0	0.3	20.0	21.0	0.2872281323269014	0.1	1.0	0.015873015873015872	0.33174603174603173	28.77777777777778	91.0	0.29476190476190484	0.13333333333333333	0.1126984126984127	0.047619047619047616	0.08888888888888889	0.047619047619047616	0.06507936507936508	1.6803809523809523	0.5115334112636263	0.6799999999999999	2.5047619047619043	0.15357142857142855	0.06486729869440608	0.029047619047619044	0.03260774917289522	0.024047619047619047	0.02405704671398049	0.005	0.039818892723016225
AIF1	378	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	19.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Nucleus {ECO:0000269|PubMed:15381687}. Note=Translocates from mitochondrion to the nucleus upon apoptosis induction.	Apoptosis-inducing factor 1 (EC 1.-.-.-) (Cercosporin and photosensitizer-detoxification protein 1)	AIF1_YEAST	19.0	0.0	19.0	19.0	0.0	1.0	1.0	0.0026455026455026454	0.05026455026455026	0.0	0.0	-0.03333333333333334	0.09523809523809523	0.12698412698412698	0.11375661375661375	0.11375661375661375	0.11375661375661375	0.013227513227513227	1.3894736842105266	0.0	1.3894736842105266	1.3894736842105266	0.10526315789473684	0.0	0.05263157894736842	0.0	0.0	0.0	0.05263157894736842	0.0
AIM11	137	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	20.5	0.75	0.5	1.0	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Altered inheritance of mitochondria protein 11 (Genetic interactor of prohibitins 8)	AIM11_YEAST	20.5	2.5	18.0	23.0	0.25	0.5	1.0	0.014598540145985401	0.29927007299270075	28.0	28.0	-0.22919708029197075	0.10948905109489052	0.145985401459854	0.10218978102189781	0.145985401459854	0.10218978102189781	0.04379562043795619	1.2322463768115943	0.11557971014492763	1.1166666666666667	1.347826086956522	0.1642512077294686	0.05314009661835749	0.05555555555555555	0.05555555555555555	0.0	0.0	0.05555555555555555	0.05555555555555555
AIM14	570	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21.0	0.6	0.2	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	Probable metalloreductase AIM14 (EC 1.16.1.-) (Altered inheritance of mitochondria protein 14)	AIM14_YEAST	21.0	0.0	21.0	21.0	0.282842712474619	0.2	1.0	0.008771929824561403	0.18421052631578946	67.25	176.0	-0.040350877192982505	0.12982456140350876	0.13157894736842105	0.08771929824561403	0.10350877192982456	0.08771929824561403	0.043859649122807015	1.8057142857142856	0.3810880710725964	1.4666666666666668	2.5000000000000004	0.19047619047619047	0.0521640530957301	0.06666666666666667	0.03809523809523809	0.019047619047619046	0.03809523809523809	0.047619047619047616	0.04259177099999599
AIM19	157	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	17.25	0.625	0.25	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.	Altered inheritance of mitochondria protein 19, mitochondrial	AIM19_YEAST	17.0	0.4330127018922193	17.0	18.0	0.2795084971874737	0.25	1.0	0.025477707006369428	0.4394904458598726	16.0	31.0	0.2057324840764331	0.11464968152866242	0.09554140127388536	0.044585987261146494	0.09554140127388536	0.044585987261146494	0.05095541401273886	1.232516339869281	0.10320732789428182	1.111764705882353	1.3941176470588237	0.14624183006535948	0.06686880638771373	0.0	0.0	0.0	0.0	0.0	0.0
AIM20	204	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:14562095}; Single-pass membrane protein {ECO:0000269|PubMed:14562095}.	Altered inheritance of mitochondria protein 20	AIM20_YEAST	21.0	0.0	21.0	21.0	0.0	1.0	1.0	0.004901960784313725	0.10294117647058823	0.0	0.0	-0.4877450980392157	0.08333333333333333	0.13725490196078433	0.12745098039215685	0.12745098039215685	0.12745098039215685	0.009803921568627472	2.5619047619047612	0.0	2.5619047619047612	2.5619047619047612	0.047619047619047616	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AIM26	118	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	21.0	0.6666666666666666	0.3333333333333333	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:19793921}; Multi-pass membrane protein {ECO:0000269|PubMed:19793921}.	Altered inheritance of mitochondria protein 26, mitochondrial	AIM26_YEAST	21.0	0.0	21.0	21.0	0.2721655269759087	0.3333333333333333	1.0	0.025423728813559324	0.5338983050847458	24.5	36.0	0.6	0.1271186440677966	0.11016949152542373	0.025423728813559324	0.09322033898305085	0.025423728813559324	0.0847457627118644	1.4555555555555557	0.16515566002501028	1.2380952380952384	1.6380952380952383	0.15873015873015872	0.11223917161691228	0.047619047619047616	0.038880789567986955	0.031746031746031744	0.02244783432338246	0.015873015873015872	0.04489566864676491
AIM33	312	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21.0	0.6666666666666666	0.3333333333333333	1.0	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Uncharacterized oxidoreductase AIM33 (EC 1.-.-.-) (Altered inheritance of mitochondria protein 33)	AIM33_YEAST	21.0	0.0	21.0	21.0	0.2721655269759087	0.3333333333333333	1.0	0.009615384615384616	0.20192307692307693	61.5	117.0	-0.12179487179487183	0.11858974358974358	0.14743589743589744	0.09615384615384616	0.11217948717948718	0.09615384615384616	0.05128205128205128	1.5857142857142856	0.49323465336533606	1.1142857142857143	2.2666666666666666	0.14285714285714285	0.11664236870396086	0.0	0.0	0.015873015873015872	0.02244783432338246	-0.015873015873015872	0.02244783432338246
AIM34	198	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	16.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:14562095}; Single-pass membrane protein {ECO:0000269|PubMed:14562095}.	Altered inheritance of mitochondria protein 34, mitochondrial	AIM34_YEAST	16.0	0.0	16.0	16.0	0.0	1.0	1.0	0.005050505050505051	0.08080808080808081	0.0	0.0	-0.3954545454545455	0.0707070707070707	0.19696969696969696	0.07575757575757576	0.16161616161616163	0.07575757575757576	0.1212121212121212	1.8624999999999998	0.0	1.8624999999999998	1.8624999999999998	0.3125	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AIM36	255	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	19.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:14562095}; Single-pass membrane protein {ECO:0000269|PubMed:14562095}.	Altered inheritance of mitochondria protein 36, mitochondrial (Found in mitochondrial proteome protein 39)	AIM36_YEAST	19.0	0.0	19.0	19.0	0.0	1.0	1.0	0.00392156862745098	0.07450980392156863	0.0	0.0	-0.27764705882352947	0.10196078431372549	0.17254901960784313	0.11764705882352941	0.16470588235294117	0.11764705882352941	0.054901960784313725	2.094736842105263	0.0	2.094736842105263	2.094736842105263	0.10526315789473684	0.0	0.05263157894736842	0.0	0.0	0.0	0.05263157894736842	0.0
AIM39	395	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	Altered inheritance of mitochondria protein 39, mitochondrial	AIM39_YEAST	21.0	0.0	21.0	21.0	0.0	1.0	1.0	0.002531645569620253	0.053164556962025315	0.0	0.0	-0.5653164556962026	0.09113924050632911	0.19746835443037974	0.11392405063291139	0.1569620253164557	0.11392405063291139	0.08354430379746836	1.4999999999999998	0.0	1.4999999999999998	1.4999999999999998	0.23809523809523808	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKR1	764	6	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	20.333333333333332	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Early endosome membrane; Multi-pass membrane protein. Golgi apparatus membrane; Multi-pass membrane protein.	Palmitoyltransferase AKR1 (EC 2.3.1.225) (Ankyrin repeat-containing protein AKR1)	AKR1_YEAST	21.0	1.1055415967851334	18.0	21.0	0.28463752127665554	0.1666666666666666	1.0	0.007853403141361256	0.15968586387434555	29.6	74.0	-0.008376963350785338	0.112565445026178	0.11125654450261781	0.112565445026178	0.08376963350785341	0.112565445026178	-0.001308900523560197	2.150462962962963	0.225866101843015	1.7285714285714284	2.3714285714285714	0.21097883597883596	0.062172830025428685	0.017592592592592594	0.02493131855154863	0.007936507936507936	0.01774657124999833	0.009656084656084656	0.034867734903772915
AKR2	749	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	21.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	Probable palmitoyltransferase AKR2 (EC 2.3.1.225) (Ankyrin repeat-containing protein AKR2)	AKR2_YEAST	21.0	0.0	21.0	21.0	0.28463752127665554	0.1666666666666666	1.0	0.00801068090787717	0.16822429906542055	27.0	76.0	0.03631508678237648	0.12416555407209613	0.11748998664886515	0.10146862483311081	0.09212283044058744	0.10146862483311081	0.016021361815754337	1.8333333333333333	0.40834085327889746	1.1952380952380952	2.452380952380952	0.21428571428571427	0.10910894511799618	0.047619047619047616	0.038880789567986955	0.0	0.0	0.047619047619047616	0.038880789567986955
ALE1	619	7	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	20.857142857142858	0.5714285714285714	0.1428571428571428	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:17890783}; Multi-pass membrane protein.	Lysophospholipid acyltransferase (LPLAT) (EC 2.3.1.23) (EC 2.3.1.51) (EC 2.3.1.n6) (EC 2.3.1.n7) (1-acyl-sn-glycerol-3-phosphate acyltransferase) (AGPAT) (Lysophosphatidic acid acyltransferase) (LPAAT) (Lysophosphatidylcholine acyltransferase) (LPCAT) (Lysophosphatidylethanolamine acyltransferase) (LPEAT) (Lysophosphatidylserine acyltransferase) (LPSAT) (Sphingolipid compensation protein 4)	ALE1_YEAST	21.0	0.3499271061118825	20.0	21.0	0.28571428571428575	0.1428571428571428	1.0	0.011308562197092083	0.2358642972536349	52.0	134.0	-0.22843295638126015	0.15347334410339256	0.1631663974151858	0.09369951534733441	0.14054927302100162	0.09369951534733441	0.06946688206785138	1.344251700680272	0.4313688074975029	0.7714285714285716	1.8380952380952378	0.21870748299319726	0.09736093777845263	0.08877551020408163	0.06917902445265753	0.0	0.0	0.08877551020408163	0.06917902445265753
ALG1	449	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:29939232}; Single-pass membrane protein {ECO:0000269|PubMed:29939232}.	Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase)	ALG1_YEAST	21.0	0.0	21.0	21.0	0.0	1.0	1.0	0.0022271714922048997	0.0467706013363029	0.0	0.0	0.03518930957683738	0.12026726057906459	0.1447661469933185	0.10022271714922049	0.12026726057906459	0.10022271714922049	0.04454342984409801	2.2095238095238097	0.0	2.2095238095238097	2.2095238095238097	0.19047619047619047	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALG11	548	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11278778, ECO:0000269|PubMed:19929855}; Single-pass membrane protein {ECO:0000269|PubMed:19929855}.	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Alpha-1,2-mannosyltransferase ALG11) (Asparagine-linked glycosylation protein 11) (Glycolipid 2-alpha-mannosyltransferase)	ALG11_YEAST	21.0	0.0	21.0	21.0	0.0	1.0	1.0	0.0018248175182481751	0.03832116788321168	0.0	0.0	-0.17937956204379565	0.1332116788321168	0.14233576642335766	0.10218978102189781	0.1259124087591241	0.10218978102189781	0.04014598540145985	1.619047619047619	0.0	1.619047619047619	1.619047619047619	0.19047619047619047	0.0	0.09523809523809523	0.0	0.0	0.0	0.09523809523809523	0.0
ALG12	551	12	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.0	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000255}.	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Extracellular mutant protein 39) (Mannosyltransferase ALG12)	ALG12_YEAST	21.0	0.0	21.0	21.0	0.28767104412788863	0.0833333333333333	1.0	0.021778584392014518	0.4573502722323049	16.727272727272727	38.0	0.3978221415607985	0.14156079854809436	0.09800362976406533	0.08166969147005444	0.0780399274047187	0.08166969147005444	0.01633393829401089	1.4257936507936508	0.3410360494869049	0.7809523809523808	2.0476190476190474	0.16666666666666666	0.053239713749995	0.05158730158730159	0.041047938225351584	0.01984126984126984	0.023476507075792123	0.031746031746031744	0.056119585808456156
ALG14	237	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15282802, ECO:0000269|PubMed:16100110, ECO:0000269|PubMed:17686769}; Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000269|PubMed:15282802}; Single-pass membrane protein {ECO:0000255}.	UDP-N-acetylglucosamine transferase subunit ALG14 (Asparagine-linked glycosylation protein 14)	ALG14_YEAST	21.0	0.0	21.0	21.0	0.0	1.0	1.0	0.004219409282700422	0.08860759493670886	0.0	0.0	0.310126582278481	0.11814345991561181	0.15611814345991562	0.06751054852320675	0.12658227848101267	0.06751054852320675	0.08860759493670887	2.1571428571428566	0.0	2.1571428571428566	2.1571428571428566	0.14285714285714285	0.0	0.047619047619047616	0.0	0.0	0.0	0.047619047619047616	0.0
ALG2	503	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.0	0.6666666666666666	0.3333333333333333	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15044395}; Multi-pass membrane protein {ECO:0000269|PubMed:15044395}.	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)	ALG2_YEAST	21.0	0.0	21.0	21.0	0.2721655269759087	0.3333333333333333	1.0	0.005964214711729622	0.12524850894632206	168.5	310.0	-0.005367793240556637	0.13717693836978131	0.12326043737574553	0.1172962226640159	0.10337972166998012	0.1172962226640159	0.005964214711729629	1.2031746031746031	0.09277231235684098	1.1238095238095238	1.3333333333333333	0.23809523809523805	0.038880789567986955	0.07936507936507936	0.022447834323382456	0.031746031746031744	0.022447834323382456	0.047619047619047616	0.038880789567986955
