gene	uniprot_accession	alphafold_available	af_n_residues	af_plddt_mean	af_plddt_median	af_plddt_std	af_plddt_min	af_plddt_max	af_frac_plddt_gt90	af_frac_plddt_70_90	af_frac_plddt_50_70	af_frac_plddt_lt50	af_radius_of_gyration	af_max_dimension	af_compactness_rg_per_residue	af_compactness_dmax_per_residue
AIM39	Q08223	1	395.0	61.739772151898734	68.94	23.088495270851585	24.61	92.56	0.04810126582278481	0.4430379746835443	0.1341772151898734	0.37468354430379747	35.30724266888816	132.13506289399496	0.08938542447819786	0.3345191465670758
AKR1	P39010	1	764.0	82.62176701570681	94.69	23.45033929343309	22.62	98.75	0.6740837696335078	0.10863874345549739	0.06544502617801047	0.1518324607329843	32.6979575356941	125.57551618846725	0.04279837373781951	0.16436585888542835
AKR2	Q12013	1	749.0	80.12113484646194	92.19	23.72424319693951	20.83	98.62	0.5700934579439252	0.1802403204272363	0.09345794392523364	0.15620827770360482	34.407574282547074	135.13845198906196	0.045938016398594225	0.18042516954480903
ALE1	Q08548	1	619.0	86.08040387722133	91.75	14.845383098870522	27.7	98.62	0.5896607431340872	0.29079159935379645	0.06623586429725363	0.05331179321486268	27.83100299360998	97.93628512456453	0.04496123262295635	0.15821693881189747
ALG1	P16661	1	449.0	93.4414031180401	95.19	6.354954648780166	44.12	98.56	0.8507795100222717	0.13140311804008908	0.015590200445434299	0.0022271714922048997	26.982886436844346	119.30229003669626	0.060095515449541975	0.26570665932449056
ALG11	P53954	1	548.0	90.57596715328467	94.09	10.644116310000511	29.86	98.81	0.6897810218978102	0.2645985401459854	0.025547445255474453	0.020072992700729927	26.95489495702553	95.65523018110405	0.04918776452011958	0.17455333974654022
ALG12	P53730	1	551.0	91.52580762250454	94.94	9.329009398766031	34.75	98.75	0.7568058076225045	0.2014519056261343	0.034482758620689655	0.007259528130671506	26.458894705908317	98.95751924942338	0.04801977260600421	0.17959622368316402
ALG14	P38242	1	237.0	87.44194092827003	92.19	12.388042640070575	46.25	98.0	0.6413502109704642	0.25316455696202533	0.08438818565400844	0.02109704641350211	19.15070650640115	69.18116956224432	0.08080466880338039	0.29190366903900555
ALG2	P43636	1	503.0	92.14729622266401	94.38	7.896293808506878	41.22	98.75	0.7534791252485089	0.220675944333996	0.019880715705765408	0.005964214711729622	27.78798384122617	109.10103316192749	0.05524450067838205	0.21690066234975644
ALG3	P38179	1	458.0	91.2557423580786	96.655	13.98323493986289	36.94	98.81	0.8318777292576419	0.07205240174672489	0.039301310043668124	0.056768558951965066	26.712201833119575	120.25243637032891	0.05832358478847069	0.2625599047387094
ALG5	P40350	1	334.0	92.09805389221557	94.88	7.514587098873544	56.66	98.69	0.7425149700598802	0.2275449101796407	0.029940119760479042	0.0	22.40964187291902	89.1228886762542	0.06709473614646413	0.26683499603668925
ALG6	Q12001	1	544.0	91.81095588235293	96.31	12.142724908517692	33.72	98.88	0.8106617647058824	0.10661764705882353	0.06066176470588235	0.022058823529411766	23.94624519537819	91.6806227782076	0.04401883307973932	0.1685305565775875
ALG7	P07286	1	448.0	90.22236607142857	95.56	13.335004376569756	38.56	98.88	0.7388392857142857	0.171875	0.049107142857142856	0.04017857142857143	24.160828458745744	89.86274630791117	0.05393042066684318	0.20058648729444456
ALG8	P40351	1	577.0	88.25114384748701	95.31	17.2273104210009	25.3	98.81	0.7105719237435009	0.18717504332755633	0.03466204506065858	0.06759098786828423	29.859915736473344	119.07000884353708	0.05175028723825536	0.20636050059538488
ALG9	P53868	1	555.0	95.18535135135136	97.0	6.406749060576734	35.88	98.88	0.9171171171171171	0.06846846846846846	0.009009009009009009	0.005405405405405406	24.859288304082995	90.01361468689056	0.044791510457807195	0.16218669312953254
ALP1	P38971	1	573.0	82.00193717277487	89.75	18.501826047785393	27.38	97.38	0.4869109947643979	0.33856893542757416	0.06457242582897033	0.1099476439790576	27.73467983171015	107.68238302526557	0.04840258260333359	0.18792737002664148
ALR1	Q08269	1	859.0	58.73140861466822	46.53	25.48498710740239	24.91	96.81	0.17578579743888242	0.2421420256111758	0.06286379511059371	0.519208381839348	48.2307465638649	162.42012163522105	0.05614755129669953	0.18908046756137492
ALR2	P43553	1	858.0	57.742517482517485	46.155	25.578129529197366	23.05	96.19	0.16200466200466201	0.24592074592074592	0.07226107226107226	0.5198135198135199	47.94432648550103	167.9204496450626	0.055879168398019846	0.19571147977280023
AMF1	Q08902	1	515.0	89.06566990291262	94.81	13.551683766261101	40.41	98.81	0.6873786407766991	0.20194174757281552	0.07184466019417475	0.038834951456310676	23.699950815695647	89.34569613585201	0.04601932197222456	0.17348678861330488
ANP1	P32629	1	500.0	80.6254	91.94	21.92900494869751	22.44	98.62	0.556	0.18	0.126	0.138	43.071377496581974	195.23852396491833	0.08614275499316394	0.3904770479298367
ANT1	Q06497	1	328.0	87.32829268292683	93.53	14.143149104681868	35.91	98.31	0.6524390243902439	0.21951219512195122	0.08536585365853659	0.042682926829268296	24.641021782648806	94.85963699593204	0.07512506641051465	0.28920621035345134
ANY1	Q03687	1	405.0	78.24491358024692	86.25	18.1994520689447	27.61	98.5	0.38765432098765434	0.30864197530864196	0.2123456790123457	0.09135802469135802	29.79613325169068	114.58974144747862	0.07357069938689056	0.2829376332036509
APQ12	P40532	1	138.0	78.64326086956522	79.845	9.929735840367725	39.94	93.19	0.07246376811594203	0.8188405797101449	0.08695652173913043	0.021739130434782608	24.216596842108338	74.9878108628329	0.17548258581237927	0.5433899337886442
AQR1	P53943	1	586.0	81.43687713310581	90.69	22.52201418260718	22.19	98.5	0.5392491467576792	0.2883959044368601	0.025597269624573378	0.14675767918088736	29.191060331482173	104.34260898118276	0.04981409612880917	0.17805905969485114
AQY1	P0CD91	1	305.0	87.77360655737704	97.19	17.88615807263542	35.59	98.94	0.7442622950819672	0.08196721311475409	0.09180327868852459	0.08196721311475409	28.879251636982435	118.29354168761708	0.09468607094092601	0.38784767766431827
AQY2	P0CD90	1	149.0	69.32939597315436	70.25	12.4939002152319	47.22	89.25	0.0	0.5033557046979866	0.44966442953020136	0.04697986577181208	30.655644237690627	112.07545635865152	0.20574257877644717	0.752184270863433
AQY3	P43549	1	646.0	63.4154334365325	54.33	27.161961650908893	23.12	98.75	0.33900928792569657	0.08823529411764706	0.11455108359133127	0.4582043343653251	40.13719125794307	183.68582110222877	0.06213187501229578	0.28434337631923956
ARE1	P25628	1	610.0	78.13419672131148	86.72	21.147457633359696	19.14	98.06	0.38524590163934425	0.37868852459016394	0.09672131147540984	0.13934426229508196	33.25365085275036	126.57268565926853	0.05451418172582027	0.20749620599880086
ARE2	P53629	1	642.0	74.89696261682244	85.78	23.52420159563334	17.8	97.44	0.3130841121495327	0.40498442367601245	0.09813084112149532	0.1838006230529595	33.139198729944944	122.08944711153376	0.05161868961050614	0.190170478366875
ARN1	P38731	1	627.0	85.26832535885167	92.94	17.62139421831235	26.3	98.12	0.6331738437001595	0.22807017543859648	0.06220095693779904	0.07655502392344497	26.40452433033954	101.13384995143812	0.04211247899575685	0.16129800630213417
ARN2	P38724	1	620.0	86.03701612903225	92.03	15.706663080641034	28.7	97.69	0.6	0.29516129032258065	0.03870967741935484	0.06612903225806452	28.018921509264793	123.71007759677462	0.045191808885910956	0.19953238322060424
ARR3	Q06598	1	404.0	82.64930693069307	89.5	16.485504719488834	28.89	98.25	0.47029702970297027	0.3465346534653465	0.09158415841584158	0.09158415841584158	23.231483732199813	95.94763917887713	0.057503672604454985	0.23749415638335922
ARV1	Q06541	1	321.0	82.77996884735202	88.88	14.016224477267777	35.66	95.94	0.40809968847352024	0.43613707165109034	0.09034267912772585	0.06542056074766354	24.30410771478798	81.50793149749293	0.07571373119871644	0.253918789711816
ASG7	P46993	1	209.0	72.19885167464115	76.75	19.502285858464703	30.47	95.0	0.22966507177033493	0.3492822966507177	0.24401913875598086	0.17703349282296652	25.508062349413123	97.56614911945638	0.12204814521250298	0.466823679997399
ASI1	P54074	1	624.0	65.02983974358975	71.465	22.90114036685778	21.64	94.69	0.125	0.40865384615384615	0.15224358974358973	0.3141025641025641	39.60554029843317	143.03702977201394	0.06347041714492495	0.22922600925002234
ASI2	P53895	1	289.0	69.89778546712803	77.0	15.777721600474276	35.56	92.38	0.031141868512110725	0.5778546712802768	0.22491349480968859	0.16608996539792387	43.263174567289944	152.98181587038374	0.1496995659767818	0.5293488438421583
ASI3	P53983	1	676.0	63.894334319526635	69.215	20.57639020159919	21.5	95.44	0.0650887573964497	0.4230769230769231	0.20266272189349113	0.3091715976331361	43.23695257525245	145.5624990098755	0.06395998901664564	0.2153291405471531
ATG15	P25641	1	520.0	79.9643846153846	89.78	20.75019085190622	26.11	98.69	0.48846153846153845	0.25	0.12307692307692308	0.13846153846153847	27.620349218694013	108.63254441004317	0.05311605618979618	0.20890873925008302
ATG22	P25568	1	528.0	85.07611742424243	92.0	16.264649733342946	28.84	98.62	0.5738636363636364	0.2859848484848485	0.06818181818181818	0.07196969696969698	24.922437342703635	90.57039636658327	0.04720158587633264	0.1715348416033774
ATG27	P46989	1	271.0	75.5310701107011	83.38	19.35104915199451	30.56	95.56	0.3062730627306273	0.4059040590405904	0.0996309963099631	0.1881918819188192	28.051854856417247	101.91375721167384	0.10351237954397507	0.37606552476632416
ATG32	P40458	1	529.0	56.85858223062382	48.62	21.10363802915375	29.61	94.75	0.13610586011342155	0.15879017013232513	0.18525519848771266	0.5198487712665406	44.48235269484653	168.88304245246175	0.08408762324167586	0.3192496076606082
ATG33	Q06485	1	197.0	56.893350253807114	56.41	14.270619313044191	30.09	81.88	0.0	0.2436548223350254	0.4365482233502538	0.3197969543147208	26.981315863882642	95.61042385639757	0.1369609942329068	0.4853321007938963
ATG40	Q99325	1	256.0	63.19265625	65.47	18.754596498441014	22.75	88.94	0.0	0.4296875	0.32421875	0.24609375	27.769602283970837	98.06396219814903	0.10847500892176108	0.38306235233651964
ATG9	Q12142	1	997.0	60.32554663991976	66.5	26.42358631921466	23.14	96.75	0.12738214643931794	0.35907723169508526	0.05717151454363089	0.4563691073219659	40.34552980888953	141.22002279421994	0.040466930600691606	0.1416449576672216
ATH1	P48016	1	1211.0	84.49890173410404	94.31	20.841658261942648	19.88	98.88	0.6705202312138728	0.15194054500412882	0.0685383980181668	0.10900082576383155	34.76669208494326	140.9493018996547	0.028709076866179403	0.11639083559013601
ATM1	P40416	1	690.0	85.92324637681159	94.25	20.42140739972824	25.0	98.38	0.7333333333333333	0.13768115942028986	0.005797101449275362	0.12318840579710146	37.83820789212472	130.95155514922303	0.05483798245235467	0.18978486253510585
ATO2	P32907	1	282.0	82.24053191489362	93.065	22.23517270084079	27.69	98.5	0.5780141843971631	0.23049645390070922	0.031914893617021274	0.1595744680851064	26.55437856273117	97.32072462225094	0.0941644629884084	0.3451089525611735
ATO3	Q12359	1	275.0	80.39781818181818	92.0	22.485498978910353	28.66	98.25	0.5309090909090909	0.24	0.05818181818181818	0.1709090909090909	26.921252633043014	86.15235422204084	0.09789546412015641	0.3132812880801485
ATP18	P81450	1	59.0	94.95305084745762	95.06	3.3898728810911054	82.25	98.69	0.9491525423728814	0.05084745762711865	0.0	0.0	19.79303425593441	62.663399724240946	0.3354751568802442	1.0620915207498465
ATP19	P81451	1	68.0	68.70617647058823	70.315	11.486757212676508	42.25	87.38	0.0	0.5147058823529411	0.4411764705882353	0.04411764705882353	25.407034068924656	77.55704309732289	0.37363285395477436	1.140544751431219
ATP6	P00854	1	259.0	87.9303861003861	91.81	11.012357039840936	34.53	96.75	0.6293436293436293	0.305019305019305	0.04247104247104247	0.023166023166023165	23.066221108819764	72.1865023186468	0.08905876875992187	0.27871236416465944
ATP8	P00856	1	48.0	96.12583333333333	97.75	4.287128425751774	78.31	98.81	0.9166666666666666	0.08333333333333333	0.0	0.0	20.275697924113384	69.008870002341	0.4224103734190288	1.4376847917154374
ATR1	P13090	1	542.0	84.17164206642066	92.12	19.158989750585167	24.25	98.56	0.5867158671586716	0.28044280442804426	0.03690036900369004	0.0959409594095941	26.097731466604323	95.60385499549693	0.04815079606384561	0.17639087637545559
ATX2	Q12067	1	313.0	87.09830670926517	91.94	14.28480629000583	31.39	98.38	0.6070287539936102	0.28434504792332266	0.06070287539936102	0.04792332268370607	21.60593729889614	78.32943575055293	0.0690285536705947	0.2502537883404247
AUR1	P36107	1	401.0	87.13296758104738	94.94	18.502796632223273	31.02	98.94	0.7780548628428927	0.06483790523690773	0.05486284289276808	0.10224438902743142	27.592200676468728	90.81441432393868	0.06880848048994695	0.2264698611569543
AUS1	Q08409	1	1394.0	79.57401721664274	86.69	19.282248690569865	19.2	97.44	0.3235294117647059	0.5028694404591105	0.06169296987087518	0.11190817790530846	38.39117037855639	142.74060712004837	0.027540294389208315	0.10239641830706482
AVT1	P47082	1	602.0	73.30659468438539	87.845	25.8106368824479	19.52	97.69	0.4318936877076412	0.21926910299003322	0.07807308970099668	0.2707641196013289	28.4997073842539	104.30558808616152	0.047341706618361956	0.1732650964886404
AVT2	P39981	1	480.0	84.86756250000002	92.88	19.28868574061645	25.94	98.75	0.6208333333333333	0.21666666666666667	0.052083333333333336	0.11041666666666666	24.751014799607084	91.87904292601223	0.051564614165848094	0.1914146727625255
AVT3	P36062	1	692.0	70.42617052023121	82.25	24.268286161681424	26.92	96.56	0.32514450867052025	0.27167630057803466	0.1199421965317919	0.2832369942196532	36.151462838442946	124.64453715265662	0.052241998321449344	0.18012216351539975
AVT4	P50944	1	713.0	69.77099579242638	82.88	26.199428587951793	21.67	98.31	0.3856942496493689	0.19915848527349228	0.12622720897615708	0.28892005610098176	39.42431085121064	150.87733093476965	0.055293563606186036	0.21160915979631087
AVT5	P38176	1	459.0	83.3325054466231	90.88	18.298916608926	22.78	97.88	0.5424836601307189	0.2984749455337691	0.06971677559912855	0.08932461873638345	23.650451725200984	86.36795441597539	0.05152603861699561	0.18816547803044747
AVT6	P40074	1	448.0	85.37741071428572	92.53	17.448589254043256	25.8	97.94	0.6049107142857143	0.27232142857142855	0.04241071428571429	0.08035714285714286	23.69645246982143	90.8211498385701	0.05289386712013712	0.2027257808896654
AVT7	P40501	1	490.0	79.93961224489797	88.715	20.300033247501	24.08	97.25	0.46530612244897956	0.3183673469387755	0.09387755102040816	0.12244897959183673	26.91474566256339	109.2910619035244	0.05492805237257835	0.2230429834765804
AXL2	P38928	1	823.0	66.45811664641555	78.44	27.43234498939187	21.83	98.38	0.34993924665856624	0.17739975698663427	0.08262454434993925	0.39003645200486026	40.14277671591779	118.44710558304072	0.04877615639844203	0.14392114894658653
AZR1	P50080	1	613.0	80.77482871125612	85.44	14.337489564987488	27.64	97.62	0.3066884176182708	0.4893964110929853	0.1500815660685155	0.053833605220228384	29.604319317204116	126.0644178267603	0.048294158755634774	0.20565157883647683
BAP2	P38084	1	609.0	81.95981937602627	89.06	17.993267491159738	28.67	96.94	0.4614121510673235	0.3760262725779967	0.04597701149425287	0.11658456486042693	28.96331733701665	113.59367837164179	0.047558813361275286	0.18652492343455138
BAP3	P41815	1	604.0	84.27990066225165	90.88	16.859461165317057	28.66	97.5	0.5463576158940397	0.3211920529801324	0.039735099337748346	0.09271523178807947	27.98044535905165	105.49579131889575	0.04632524066068154	0.1746619061571122
BCS1	P32839	1	456.0	79.85967105263158	87.41	17.449160567117744	27.98	96.56	0.40131578947368424	0.3706140350877193	0.13157894736842105	0.09649122807017543	36.68674670930791	129.12239793699618	0.080453391906377	0.28316315337060566
BET1	P22804	1	142.0	72.89760563380281	78.12	16.471263321122976	40.12	95.19	0.1619718309859155	0.4507042253521127	0.2535211267605634	0.13380281690140844	42.00568169084495	135.91645419889383	0.29581465979468274	0.9571581281612241
BI2	P03873	1	423.0	86.7930023640662	89.75	8.926444190125597	52.81	97.38	0.4799054373522459	0.458628841607565	0.061465721040189124	0.0	40.84955351020716	115.92305372530522	0.09657104848748738	0.27404977240024875
BI3	Q9ZZW7	1	517.0	84.52978723404257	90.31	13.059678246145083	41.88	97.69	0.5106382978723404	0.32495164410058025	0.15087040618955513	0.013539651837524178	32.244970516054046	103.25802405624466	0.06236938204265773	0.19972538502174983
BIG1	P38813	1	335.0	84.46164179104478	92.0	15.25732773271021	37.34	98.69	0.5701492537313433	0.22686567164179106	0.1791044776119403	0.023880597014925373	52.311062281583624	198.98094657780678	0.15615242472114516	0.5939729748591247
BIO5	P53744	1	561.0	86.11039215686274	92.5	16.86178956812698	24.61	98.25	0.6256684491978609	0.2549019607843137	0.05169340463458111	0.0677361853832442	25.170868679115287	91.6757853579668	0.04486785860804864	0.16341494716215116
BOR1	P53838	1	576.0	76.39380208333334	82.19	15.42611757462346	29.3	93.62	0.0798611111111111	0.6979166666666666	0.11979166666666667	0.10243055555555555	25.87153941978525	107.9245021901885	0.04491586704823828	0.1873689274135217
BOS1	P25385	1	244.0	70.9177868852459	76.56	16.65584938910697	30.34	93.44	0.045081967213114756	0.5655737704918032	0.21721311475409835	0.1721311475409836	30.27538305716315	91.31466550341189	0.12407943875886537	0.37424043239103233
BPT1	P14772	1	1559.0	82.00927517639512	87.69	15.303052236373162	21.22	96.44	0.3296985246953175	0.5323925593329057	0.06478511866581142	0.07312379730596537	42.12027092163864	140.7786315674364	0.027017492573212728	0.09030059754165261
BRE4	Q07660	1	1125.0	75.69472888888889	84.06	19.71484495258019	24.84	96.94	0.26666666666666666	0.43733333333333335	0.1431111111111111	0.15288888888888888	37.031592466933	127.62865563030897	0.03291697108171822	0.11344769389360797
BRL1	P38770	1	471.0	59.3215498938429	53.59	21.035976965598536	28.45	95.69	0.07430997876857749	0.28874734607218683	0.18046709129511676	0.4564755838641189	45.634612965290465	170.69014941114793	0.09688877487322817	0.3623994679642207
BRR6	P53062	1	197.0	73.83939086294417	80.12	18.131170978463356	28.98	95.25	0.14720812182741116	0.5786802030456852	0.1218274111675127	0.15228426395939088	39.67002375400284	132.60926355651026	0.20137067895432914	0.6731434698300013
BSC2	Q05611	1	235.0	56.46217021276596	51.94	16.957888667405914	32.09	90.38	0.00851063829787234	0.225531914893617	0.3276595744680851	0.43829787234042555	47.62195352221832	156.6684862600006	0.2026466107328439	0.6666744096170238
BSC6	Q08280	1	497.0	83.48913480885311	92.44	21.043448113533522	23.91	98.69	0.5915492957746479	0.2575452716297787	0.022132796780684104	0.12877263581488935	24.055908916330075	86.25332367509093	0.04840223121998003	0.1735479349599415
BSD2	P38356	1	321.0	66.496261682243	61.09	18.809295484331162	36.19	96.94	0.22118380062305296	0.14641744548286603	0.4143302180685358	0.21806853582554517	45.46434441985839	159.64893661092765	0.14163347171295448	0.49734871218357524
BST1	P43571	1	1029.0	86.65264334305151	91.56	14.42892683640227	27.72	98.69	0.6015549076773566	0.2983479105928086	0.04470359572400389	0.05539358600583091	34.35257632647223	125.09631967807846	0.033384427916882634	0.12157076742281678
BUD26	Q03783	1	95.0	63.66852631578948	64.25	9.326519514229705	40.94	80.19	0.0	0.2736842105263158	0.6526315789473685	0.07368421052631578	18.733197943000395	63.109006409545074	0.197191557294741	0.6643053306267902
BUD8	P41698	1	603.0	45.57847429519071	40.47	15.71795418964294	23.73	94.88	0.03150912106135987	0.07462686567164178	0.0978441127694859	0.7960199004975125	45.9333607262522	152.4461298196842	0.07617472757255754	0.2528128189381164
BUD9	P53226	1	547.0	43.47270566727605	36.41	17.64064820510243	18.19	93.5	0.031078610603290677	0.10054844606946983	0.07495429616087751	0.793418647166362	44.27110925731425	146.06929123193552	0.08093438621081216	0.26703709548799914
BXI1	P48558	1	297.0	81.27959595959597	90.06	19.319568380159893	24.27	98.25	0.5016835016835017	0.2727272727272727	0.12121212121212122	0.10437710437710437	25.051756518002072	89.59048050992918	0.08434934854546153	0.3016514495283811
CAN1	P04817	1	590.0	80.64116949152542	90.655	21.233021128878676	24.52	97.88	0.535593220338983	0.2677966101694915	0.059322033898305086	0.13728813559322034	26.790581554825298	112.02784427989319	0.045407765347161524	0.1898777021693105
CAX4	P53223	1	239.0	90.60656903765691	95.12	10.842320612395218	42.25	98.81	0.7322175732217573	0.21338912133891214	0.04184100418410042	0.012552301255230125	23.265405696434975	94.52964044150384	0.09734479370893295	0.39552150812344705
CBP3	P21560	1	335.0	82.48632835820897	92.88	21.975007132179616	24.36	98.81	0.6298507462686567	0.1582089552238806	0.07164179104477612	0.14029850746268657	22.140208532838738	76.26263154389574	0.06609017472489176	0.22764964639968877
CBP4	P37267	1	147.0	82.93006802721087	87.44	11.785168327706613	52.5	98.06	0.2789115646258503	0.5170068027210885	0.20408163265306123	0.0	34.48423906561477	139.99858989647004	0.2345866603103046	0.9523713598399323
CBR1	P38626	1	284.0	93.29242957746479	96.97	9.450910944914392	49.41	98.94	0.8345070422535211	0.11267605633802817	0.04929577464788732	0.0035211267605633804	22.377193296940273	86.9573636847392	0.07879293414415589	0.3061879002983775
CCC1	P47818	1	322.0	77.6588198757764	91.345	25.55303098256891	26.0	98.69	0.5527950310559007	0.18633540372670807	0.031055900621118012	0.22981366459627328	32.24200644400427	100.39347790568868	0.10013045479504432	0.31178098728474746
CCC2	P38995	1	1004.0	78.1900796812749	83.19	14.314799483632283	28.7	94.94	0.14243027888446216	0.646414342629482	0.14741035856573706	0.06374501992031872	40.61232644899262	139.2659226408241	0.040450524351586276	0.13871107832751403
CCH1	P50077	1	2039.0	70.1424129475233	80.44	22.53071797003736	21.86	94.44	0.15399705738106914	0.5061304561059343	0.11574301128003923	0.22412947523295734	45.713182062209235	155.96932691718584	0.022419412487596487	0.07649304900303376
CDC1	P40986	1	491.0	86.70570264765784	95.31	18.82840448750193	33.19	98.88	0.7331975560081466	0.1079429735234216	0.028513238289205704	0.13034623217922606	37.59550935297625	150.49583436427733	0.07656926548467669	0.3065088276258194
CDC25	P04821	1	1589.0	59.420981749528	65.31	30.27445209677449	19.23	98.81	0.24417872876022656	0.236626809314034	0.07740717432347388	0.4417872876022656	53.717972702987176	184.47938988949414	0.03380615022214423	0.11609779099401771
CDC50	P25656	1	391.0	88.95818414322252	95.12	16.240807654656656	31.59	98.56	0.7749360613810742	0.12020460358056266	0.015345268542199489	0.08951406649616368	34.994059893934434	109.26063450758467	0.08949887440903947	0.27943896293499915
CDS1	P38221	1	457.0	84.12684901531729	89.88	16.536113867645092	27.97	98.56	0.49015317286652077	0.3522975929978118	0.087527352297593	0.0700218818380744	31.124312361698305	115.37207961201013	0.0681057163275674	0.2524553164376589
CHO1	P08456	1	276.0	74.43572463768116	83.0	21.52683320099141	28.45	98.12	0.38405797101449274	0.2318840579710145	0.18115942028985507	0.2028985507246377	26.948352217501174	90.68291035250246	0.09763895730978686	0.32856126939312486
CHO2	P05374	1	869.0	81.76278481012656	86.5	15.733883231512692	25.66	98.19	0.34062140391254314	0.49136939010356734	0.09436133486766399	0.07364787111622555	42.98262223274917	156.4242734712231	0.049462165975545654	0.18000491768840404
CHS1	P08004	1	1131.0	68.3070026525199	81.69	27.7529932899288	23.06	98.5	0.3651635720601238	0.22900088417329797	0.06631299734748011	0.3395225464190981	42.77516862872274	168.21758299892434	0.037820661917526734	0.1487334951360958
